Composition,Sample A,Sample B,a_stoich_json,b_stoich_json,Thermal Conductivity (W/m/K),Ionic Radius A (Å),Ionic Radius B (Å),rA/rB (Å),compound_type,data_source,ROM_Lattice_Parameter,ROM_Lattice_Distortion,ROM_Ionic_Radius_A,ROM_Ionic_Radius_B,ROM_Radius_Ratio_rA_rB,ROM_Electronegativity_A,ROM_Electronegativity_B,ROM_Electronegativity_Diff,ROM_Lattice_Distortion_A,ROM_Lattice_Distortion_B,ROM_Bulk_Modulus_GPa,ROM_Shear_Modulus_GPa,ROM_Youngs_Modulus_GPa,ROM_Poisson_Ratio,ROM_Thermal_Conductivity_W_mK,ROM_Vickers_Hardness,ROM_Fracture_Toughness,ROM_Thermal_Diffusivity,ROM_Pyrochlore_Stable
YbHo Ti HP,"Yb,Ho",Ti,"{""Yb"": 0.5, ""Ho"": 0.5}","{""Ti"": 1.0}",1.5253,1.0025,0.605,1.6570247933884297,high_entropy,safin_experimental,10.087508333333334,0.003461376735748348,1.0025,0.605,1.6570247933884297,1.17,1.54,0.37,0.17169346799919638,0.17169346799919638,173.2431976280548,92.10775265821604,288.8,0.28,2.145,13.899999999999999,1.266,0.8049999999999999,True
YbHoTb Ti HP,"Yb,Ho,Tb",Ti,"{""Yb"": 0.3333333333333333, ""Ho"": 0.3333333333333333, ""Tb"": 0.3333333333333333}","{""Ti"": 1.0}",1.7887,1.015,0.605,1.677685950413223,high_entropy,safin_experimental,10.142183333333334,0.021563404329442554,1.015,0.605,1.677685950413223,1.1866666666666665,1.54,0.35333333333333333,0.18630311223858786,0.18630311223858786,184.839,102.44899999999998,274.109,0.27304300000000004,3.6415033333333326,13.899999999999999,1.266,0.8049999999999999,True
YbHoTbNd Ti HP,"Yb,Ho,Tb,Nd",Ti,"{""Yb"": 0.25, ""Ho"": 0.25, ""Tb"": 0.25, ""Nd"": 0.25}","{""Ti"": 1.0}",1.6582,1.04125,0.605,1.7210743801652892,high_entropy,safin_experimental,10.2239625,0.05338602001588592,1.04125,0.605,1.7210743801652892,1.1749999999999998,1.54,0.36500000000000005,0.21698336514131,0.21698336514131,184.839,102.449,274.10900000000004,0.27304300000000004,3.641503333333333,13.899999999999999,1.266,0.8049999999999999,True
SmEuGdTbDy Ti SDJ,"Sm,Eu,Gd,Tb,Dy",Ti,"{""Sm"": 0.2, ""Eu"": 0.2, ""Gd"": 0.2, ""Tb"": 0.2, ""Dy"": 0.2}","{""Ti"": 1.0}",2.0263,1.0530000000000002,0.605,1.7404958677685953,high_entropy,safin_experimental,10.23236166666667,0.023615923140584614,1.0530000000000002,0.605,1.7404958677685953,1.204,1.5400000000000003,0.3360000000000001,0.2307164307263383,0.2307164307263383,185.96166666666664,100.41906666666665,266.70599999999996,0.2747735416666667,3.8391760416666663,9.933,1.2826666666666666,0.9655555555555555,True
SmEuGdTbDy Ti HPSDJ,"Sm,Eu,Gd,Tb,Dy",Ti,"{""Sm"": 0.2, ""Eu"": 0.2, ""Gd"": 0.2, ""Tb"": 0.2, ""Dy"": 0.2}","{""Ti"": 1.0}",2.1861,1.0530000000000002,0.605,1.7404958677685953,high_entropy,safin_experimental,10.23236166666667,0.023615923140584614,1.0530000000000002,0.605,1.7404958677685953,1.204,1.5400000000000003,0.3360000000000001,0.2307164307263383,0.2307164307263383,185.96166666666664,100.41906666666665,266.70599999999996,0.2747735416666667,3.8391760416666663,9.933,1.2826666666666666,0.9655555555555555,True
SmEuGdTbDy Ti CDTF,"Sm,Eu,Gd,Tb,Dy",Ti,"{""Sm"": 0.2, ""Eu"": 0.2, ""Gd"": 0.2, ""Tb"": 0.2, ""Dy"": 0.2}","{""Ti"": 1.0}",1.9556,1.0530000000000002,0.605,1.7404958677685953,high_entropy,safin_experimental,10.23236166666667,0.023615923140584614,1.0530000000000002,0.605,1.7404958677685953,1.204,1.5400000000000003,0.3360000000000001,0.2307164307263383,0.2307164307263383,185.96166666666664,100.41906666666665,266.70599999999996,0.2747735416666667,3.8391760416666663,9.933,1.2826666666666666,0.9655555555555555,True
SmEuGdTbDy SPS,"Sm,Eu,Gd,Tb,Dy",Ti,"{""Sm"": 0.2, ""Eu"": 0.2, ""Gd"": 0.2, ""Tb"": 0.2, ""Dy"": 0.2}","{""Ti"": 1.0}",2.0866,1.0530000000000002,0.605,1.7404958677685953,high_entropy,safin_experimental,10.23236166666667,0.023615923140584614,1.0530000000000002,0.605,1.7404958677685953,1.204,1.5400000000000003,0.3360000000000001,0.2307164307263383,0.2307164307263383,185.96166666666664,100.41906666666665,266.70599999999996,0.2747735416666667,3.8391760416666663,9.933,1.2826666666666666,0.9655555555555555,True
LaYTiZr TF,"La,Y","Ti,Zr","{""La"": 0.5, ""Y"": 0.5}","{""Ti"": 0.5, ""Zr"": 0.5}",1.052428571,1.145875,0.6625,1.729622641509434,high_entropy,safin_experimental,10.570363649425287,0.06694130769623134,1.145875,0.6625,1.729622641509434,1.16,1.435,0.275,0.22302789870510953,0.22302789870510953,167.0,89.01105000000001,231.89679166666662,0.27547325,4.11899125,9.437857142857144,1.2609285714285714,1.02,True
LaSmYTiZr TF,"La,Sm,Y","Ti,Zr","{""La"": 0.3333333333333333, ""Sm"": 0.3333333333333333, ""Y"": 0.3333333333333333}","{""Ti"": 0.5, ""Zr"": 0.5}",1.024692308,1.1235833333333334,0.6625000000000001,1.6959748427672954,high_entropy,safin_experimental,10.50229091954023,0.10626541898121783,1.1235833333333334,0.6625000000000001,1.6959748427672954,1.1633333333333336,1.4350000000000003,0.27166666666666683,0.1992353120425432,0.1992353120425432,167.0,89.01105,229.53743333333335,0.27547325,3.3726608333333337,8.426904761904762,1.2609285714285714,1.035,True
(Dy0.3333Ho0.3333Y0.3333)2Ti2O7,"Dy,Ho,Y",Ti,"{""Ho"": 0.3333333333333333, ""Y"": 0.3333333333333333, ""Dy"": 0.3333333333333333}","{""Ti"": 1.0}",1.023,1.0201666666666667,0.605,1.686250688705234,high_entropy,literature_extraction,10.133505555555555,0.016393361735628602,1.0203333333333333,0.605,1.6865013774104682,1.23,1.54,0.31000000000000005,0.19253656044739498,0.19253656044739498,184.18599999999998,101.50750000000001,279.1543333333333,0.2757358333333333,3.3026222222222215,13.026666666666666,1.184,0.8899999999999999,True
(Dy0.2Eu0.2Gd0.2Ho0.2Y0.2)2Ti2O7,"Dy,Eu,Gd,Ho,Y",Ti,"{""Ho"": 0.2, ""Y"": 0.2, ""Dy"": 0.2, ""Gd"": 0.2, ""Eu"": 0.2}","{""Ti"": 1.0}",0.947,1.036,0.605,1.712198347107438,high_entropy,literature_extraction,10.193378333333333,0.03979184526163815,1.036,0.605,1.712396694214876,1.218,1.5400000000000003,0.32200000000000006,0.21084731456076566,0.21084731456076566,185.1653333333333,99.78139999999999,273.8919,0.27732523333333337,3.3147685416666666,11.7954,1.2826,0.8888888888888887,True
(Gd0.3333La0.3333Nd0.3333)2Zr2O7,"Gd,La,Nd",Zr,"{""La"": 0.3333333333333333, ""Nd"": 0.3333333333333333, ""Gd"": 0.3333333333333333}","{""Zr"": 1.0}",1.54,0.6466,0.39599999999999996,1.5901805555555555,high_entropy,literature_extraction,10.730540560344826,0.030627871805844423,1.1824999999999999,0.72,1.642361111111111,1.1466666666666665,1.33,0.1833333333333334,0.16132467882373946,0.16132467882373946,166.759,87.3323,206.68955555555556,0.2777383333333333,2.7919711111111107,10.388571428571428,1.124285714285714,0.8366666666666667,True
(Gd0.3333La0.3333Nd0.3333)2(Ce0.25Zr0.75)2O7,"Gd,La,Nd","Ce,Zr","{""La"": 0.3333333333333333, ""Nd"": 0.3333333333333333, ""Gd"": 0.3333333333333333}","{""Zr"": 0.75, ""Ce"": 0.25}",1.43,0.1107,0.07575,1.462,high_entropy,literature_extraction,10.502942563569938,0.0383643178358988,,,,1.168063462757283,1.423155737704918,0.2552889962591108,0.15469229489841718,0.15469229489841718,173.2431976280548,92.10775265821604,234.2770592450218,0.27586005909952177,2.984945925604795,10.691559805666465,1.2923060965923907,0.8627201691048226,
(Eu0.2Gd0.2La0.2Nd0.2Sm0.2)2Zr2O7,"Eu,Gd,La,Nd,Sm",Zr,"{""La"": 0.2, ""Nd"": 0.2, ""Sm"": 0.2, ""Gd"": 0.2, ""Eu"": 0.2}","{""Zr"": 1.0}",1.64,0.62392,0.39599999999999996,1.550125,high_entropy,literature_extraction,10.73778042025862,0.03195570472551874,1.1385,0.72,1.58125,1.162,1.33,0.1680000000000001,0.11811259775122851,0.11811259775122851,166.75899999999996,87.3323,210.04216666666667,0.2777383333333333,2.603978333333333,10.38857142857143,1.124285714285714,0.8366666666666666,True
(Ce0.2381Gd0.1905La0.1905Nd0.1905Sm0.1905)2(Eu0.2105Zr0.7895)2O7,"Ce,Gd,La,Nd,Sm","Eu,Zr","{""La"": 0.19047619047619047, ""Nd"": 0.19047619047619047, ""Sm"": 0.19047619047619047, ""Gd"": 0.19047619047619047, ""Ce"": 0.23809523809523808}","{""Zr"": 0.7894736842105263, ""Eu"": 0.2105263157894737}",1.46,0.10934,0.07575,1.443,high_entropy,literature_extraction,10.502942563569938,0.0383643178358988,,,,1.168063462757283,1.423155737704918,0.2552889962591108,0.15469229489841718,0.15469229489841718,173.2431976280548,92.10775265821604,234.2770592450218,0.27586005909952177,2.984945925604795,10.691559805666465,1.2923060965923907,0.8627201691048226,
(Er0.2Gd0.2La0.2Nd0.2Yb0.2)2Zr2O7,"Er,Gd,La,Nd,Yb",Zr,"{""La"": 0.2, ""Nd"": 0.2, ""Gd"": 0.2, ""Er"": 0.2, ""Yb"": 0.2}","{""Zr"": 1.0}",1.41,1.08465,0.72,1.5064583333333332,high_entropy,literature_extraction,10.730540560344826,0.030627871805844423,1.1073,0.72,1.5379166666666666,1.156,1.33,0.17400000000000004,0.08747130389981117,0.08747130389981117,166.75899999999996,87.3323,206.68955555555553,0.2777383333333333,2.347182666666667,10.939142857142858,1.2525714285714287,0.766,True
(Dy0.5Gd0.5)2Ti2O7,"Dy,Gd",Ti,"{""Gd"": 0.5, ""Dy"": 0.5}","{""Ti"": 1.0}",2.8,1.04,0.605,1.719504132231405,high_entropy,literature_extraction,10.1738875,0.011792444137012541,1.04,0.605,1.71900826446281,1.2149999999999999,1.54,0.32500000000000007,0.21552240071737105,0.21552240071737105,186.523,99.4041,262.303,0.2765040833333333,3.501097083333333,12.146,1.232,0.9233333333333333,True
(Dy0.3333Gd0.3333Ho0.3333)2Ti2O7,"Dy,Gd,Ho",Ti,"{""Gd"": 0.3333333333333333, ""Dy"": 0.3333333333333333, ""Ho"": 0.3333333333333333}","{""Ti"": 1.0}",2.92,1.0318333333333332,0.605,1.7076170798898072,high_entropy,literature_extraction,10.139275,0.018660111299871007,1.0316666666666665,0.605,1.7052341597796141,1.2233333333333332,1.54,0.3166666666666667,0.20578263789110984,0.20578263789110984,186.523,99.40409999999999,271.1353333333333,0.27766938888888887,3.1207313888888883,13.330666666666666,1.2433333333333332,0.8888888888888888,True
(Dy0.25Er0.25Gd0.25Ho0.25)2Ti2O7,"Dy,Er,Gd,Ho",Ti,"{""Gd"": 0.25, ""Dy"": 0.25, ""Ho"": 0.25, ""Er"": 0.25}","{""Ti"": 1.0}",2.25,1.024875,0.605,1.6919008264462811,high_entropy,literature_extraction,10.139114583333333,0.018692049663278178,1.02475,0.605,1.6938016528925621,1.2275,1.54,0.31250000000000006,0.19769863474531335,0.19769863474531335,186.78566666666666,100.73039999999999,268.8405,0.27498104166666665,3.2068085416666663,13.198,1.2433333333333334,0.8804166666666666,True
(Dy0.2Er0.2Gd0.2Ho0.2Yb0.2)2Ti2O7,"Dy,Er,Gd,Ho,Yb",Ti,"{""Gd"": 0.2, ""Dy"": 0.2, ""Ho"": 0.2, ""Er"": 0.2, ""Yb"": 0.2}","{""Ti"": 1.0}",2.02,1.0178,0.605,1.6811570247933885,high_entropy,literature_extraction,10.132285,0.02130582259250139,1.0178,0.605,1.682314049586777,1.202,1.5400000000000003,0.3380000000000001,0.18957567254821162,0.18957567254821162,186.78566666666666,100.73039999999999,268.84049999999996,0.27498104166666665,2.9514468333333337,12.9784,1.2433333333333334,0.8623333333333334,True
(Dy0.1667Er0.1667Gd0.1667Ho0.1667Nd0.1667Yb0.1667)2Ti2O7,"Dy,Er,Gd,Ho,Nd,Yb",Ti,"{""Gd"": 0.16666666666666666, ""Dy"": 0.16666666666666666, ""Ho"": 0.16666666666666666, ""Er"": 0.16666666666666666, ""Yb"": 0.16666666666666666, ""Nd"": 0.16666666666666666}","{""Ti"": 1.0}",2.28,1.0349166666666667,0.6050000000000001,1.7102341597796142,high_entropy,literature_extraction,10.188454166666668,0.06404635312275499,1.0348333333333335,0.6050000000000001,1.7104683195592287,1.1916666666666667,1.54,0.34833333333333344,0.20948374776508905,0.20948374776508905,186.78566666666666,100.73039999999999,268.84049999999996,0.27498104166666665,2.9514468333333332,12.978399999999999,1.2433333333333332,0.8623333333333334,True
(Ce0.2La0.2Pr0.2Sc0.2Y0.2)2Zr2O7,"Ce,La,Pr,Sc,Y",Zr,"{""Sc"": 0.2, ""Y"": 0.2, ""La"": 0.2, ""Pr"": 0.2, ""Ce"": 0.2}","{""Zr"": 1.0}",1.69,1.1087,0.72,1.5398611111111111,high_entropy,literature_extraction,10.795416625615763,0.035277309291414316,1.1087,0.72,1.5398611111111111,1.186,1.33,0.15600000000000006,0.08884623375211853,0.08884623375211853,158.2,84.2106,215.67083333333335,0.2739965,2.817057,8.925714285714287,1.2228571428571429,1.02,True
(La0.5Yb0.5)2Zr2O7,"La,Yb",Zr,"{""La"": 0.5, ""Yb"": 0.5}","{""Zr"": 1.0}",1.24,1.18525,0.72,1.6461805555555555,high_entropy,literature_extraction,10.85213793103448,0.0,1.18525,0.72,1.6461805555555555,1.1,1.33,0.22999999999999998,0.1640254338907714,0.1640254338907714,155.689,81.8649,211.19466666666665,0.276298,2.20481,10.502857142857144,1.3764285714285713,0.8400000000000001,True
(La0.5Yb0.5)2Zr2O7,"La,Yb",Zr,"{""La"": 0.5, ""Yb"": 0.5}","{""Zr"": 1.0}",1.29,1.18525,0.72,1.6461805555555555,high_entropy,literature_extraction,10.85213793103448,0.0,1.18525,0.72,1.6461805555555555,1.1,1.33,0.22999999999999998,0.1640254338907714,0.1640254338907714,155.689,81.8649,211.19466666666665,0.276298,2.20481,10.502857142857144,1.3764285714285713,0.8400000000000001,True
(La0.5Yb0.5)2Zr2O7,"La,Yb",Zr,"{""La"": 0.5, ""Yb"": 0.5}","{""Zr"": 1.0}",1.33,1.18525,0.72,1.6461805555555555,high_entropy,literature_extraction,10.85213793103448,0.0,1.18525,0.72,1.6461805555555555,1.1,1.33,0.22999999999999998,0.1640254338907714,0.1640254338907714,155.689,81.8649,211.19466666666665,0.276298,2.20481,10.502857142857144,1.3764285714285713,0.8400000000000001,True
(La0.5Yb0.5)2Zr2O7,"La,Yb",Zr,"{""La"": 0.5, ""Yb"": 0.5}","{""Zr"": 1.0}",1.42,1.18525,0.72,1.6461805555555555,high_entropy,literature_extraction,10.85213793103448,0.0,1.18525,0.72,1.6461805555555555,1.1,1.33,0.22999999999999998,0.1640254338907714,0.1640254338907714,155.689,81.8649,211.19466666666665,0.276298,2.20481,10.502857142857144,1.3764285714285713,0.8400000000000001,True
(Sm0.5Yb0.5)2Ti2O7,"Sm,Yb",Ti,"{""Sm"": 0.5, ""Yb"": 0.5}","{""Ti"": 1.0}",1.4,1.0345,0.605,1.709917355371901,high_entropy,literature_extraction,10.167483333333333,0.0122973728339854,1.0345,0.605,1.709917355371901,1.135,1.54,0.405,0.20909415725203861,0.20909415725203861,173.2431976280548,92.10775265821604,234.2770592450218,0.27586005909952177,1.825,9.2525,1.2923060965923907,0.92,True
(Gd0.3333Sm0.3333Yb0.3333)2Ti2O7,"Gd,Sm,Yb",Ti,"{""Sm"": 0.3333333333333333, ""Gd"": 0.3333333333333333, ""Yb"": 0.3333333333333333}","{""Ti"": 1.0}",1.47,1.0406666666666666,0.605,1.7201101928374656,high_entropy,literature_extraction,10.18961388888889,0.01661441211516831,1.0406666666666666,0.605,1.7201101928374656,1.1566666666666667,1.54,0.38333333333333336,0.2163015817434717,0.2163015817434717,187.124,96.3292,249.19649999999996,0.2794186666666667,2.333735833333333,9.789,1.477,0.9088888888888889,True
(Er0.25Gd0.25Sm0.25Yb0.25)2Ti2O7,"Er,Gd,Sm,Yb",Ti,"{""Sm"": 0.25, ""Gd"": 0.25, ""Er"": 0.25, ""Yb"": 0.25}","{""Ti"": 1.0}",1.45,1.0314999999999999,0.605,1.7049586776859502,high_entropy,literature_extraction,10.17686875,0.021644673367729232,1.0314999999999999,0.605,1.7049586776859502,1.1775000000000002,1.54,0.36250000000000004,0.20558784263458452,0.20558784263458452,187.2175,99.8561,255.57625000000002,0.2731673333333333,2.616561875,10.54175,1.477,0.8954166666666667,True
(Dy0.2Er0.2Gd0.2Sm0.2Yb0.2)2Ti2O7,"Dy,Er,Gd,Sm,Yb",Ti,"{""Sm"": 0.2, ""Gd"": 0.2, ""Dy"": 0.2, ""Er"": 0.2, ""Yb"": 0.2}","{""Ti"": 1.0}",1.54,1.0306,0.605,1.7034710743801653,high_entropy,literature_extraction,10.164275,0.026627575503417766,1.0306,0.605,1.7034710743801653,1.188,1.5400000000000003,0.3520000000000001,0.2045359482493485,0.2045359482493485,186.78566666666666,100.73039999999999,262.1873333333333,0.2733080555555555,2.8234468333333336,11.1194,1.2320000000000002,0.9083333333333334,True
(Gd0.1875La0.1875Nd0.1875Sm0.1875Yb0.25)2Zr2O7,"Gd,La,Nd,Sm,Yb",Zr,"{""La"": 0.1875, ""Nd"": 0.1875, ""Sm"": 0.1875, ""Gd"": 0.1875, ""Yb"": 0.25}","{""Zr"": 1.0}",0.22,1.11371875,0.72,1.5468315972222224,high_entropy,literature_extraction,10.730540560344828,0.030627871805844253,1.11371875,0.72,1.5468315972222224,1.139375,1.33,0.19062500000000007,0.09377511174945186,0.09377511174945186,166.75900000000001,87.3323,210.0421666666667,0.27773833333333336,2.39298375,10.90901098901099,1.2491208791208792,0.7823076923076923,True
(Dy0.2Eu0.2Gd0.2Ho0.2Y0.2)2Ti2O7,"Dy,Eu,Gd,Ho,Y",Ti,"{""Ho"": 0.2, ""Y"": 0.2, ""Dy"": 0.2, ""Gd"": 0.2, ""Eu"": 0.2}","{""Ti"": 1.0}",0.947,1.036,0.605,1.712396694214876,high_entropy,literature_extraction,10.193378333333333,0.03979184526163815,1.036,0.605,1.712396694214876,1.218,1.5400000000000003,0.32200000000000006,0.21084731456076566,0.21084731456076566,185.1653333333333,99.78139999999999,273.8919,0.27732523333333337,3.3147685416666666,11.7954,1.2826,0.8888888888888887,True
(Dy0.25Lu0.25Sm0.25Tb0.25)2(Eu0.5Zr0.5)2O7,"Dy,Lu,Sm,Tb","Eu,Zr","{""Sm"": 0.25, ""Tb"": 0.25, ""Dy"": 0.25, ""Lu"": 0.25}","{""Zr"": 0.5, ""Eu"": 0.5}",1.46,1.038,0.72,1.441,high_entropy,literature_extraction,10.502942563569938,0.0383643178358988,,,,1.168063462757283,1.423155737704918,0.2552889962591108,0.15469229489841718,0.15469229489841718,173.2431976280548,92.10775265821604,234.2770592450218,0.27586005909952177,2.984945925604795,10.691559805666465,1.2923060965923907,0.8627201691048226,
