Composition,Sample A,Sample B,a_stoich_json,b_stoich_json,Vickers Hardness (GPa),Ionic Radius A (Å),Ionic Radius B (Å),rA/rB (Å),compound_type,data_source,ROM_Lattice_Parameter,ROM_Lattice_Distortion,ROM_Ionic_Radius_A,ROM_Ionic_Radius_B,ROM_Radius_Ratio_rA_rB,ROM_Electronegativity_A,ROM_Electronegativity_B,ROM_Electronegativity_Diff,ROM_Lattice_Distortion_A,ROM_Lattice_Distortion_B,ROM_Bulk_Modulus_GPa,ROM_Shear_Modulus_GPa,ROM_Youngs_Modulus_GPa,ROM_Poisson_Ratio,ROM_Thermal_Conductivity_W_mK,ROM_Vickers_Hardness,ROM_Fracture_Toughness,ROM_Thermal_Diffusivity,ROM_Pyrochlore_Stable
(Ho0.5Y0.5)2Ti2O7,"Ho,Y",Ti,"{""Ho"": 0.5, ""Y"": 0.5}","{""Ti"": 1.0}",15.5,1.017,0.605,1.680995867768595,high_entropy,literature_extraction,10.143308333333334,0.014444662614186721,1.017,0.605,1.68099173553719,1.23,1.54,0.31000000000000005,0.18864065531689045,0.18864065531689045,182.45,100.536,281.02675,0.27680899999999997,3.12844,12.825,1.2825,0.82,True
(Dy0.3333Ho0.3333Y0.3333)2Ti2O7,"Dy,Ho,Y",Ti,"{""Ho"": 0.3333333333333333, ""Y"": 0.3333333333333333, ""Dy"": 0.3333333333333333}","{""Ti"": 1.0}",15.81,1.0201666666666667,0.605,1.686250688705234,high_entropy,literature_extraction,10.133505555555555,0.016393361735628602,1.0203333333333333,0.605,1.6865013774104682,1.23,1.54,0.31000000000000005,0.19253656044739498,0.19253656044739498,184.18599999999998,101.50750000000001,279.1543333333333,0.2757358333333333,3.3026222222222215,13.026666666666666,1.184,0.8899999999999999,True
(Dy0.25Gd0.25Ho0.25Y0.25)2Ti2O7,"Dy,Gd,Ho,Y",Ti,"{""Ho"": 0.25, ""Y"": 0.25, ""Dy"": 0.25, ""Gd"": 0.25}","{""Ti"": 1.0}",15.47,1.0282499999999999,0.605,1.7,high_entropy,literature_extraction,10.158597916666666,0.026233114929123263,1.0285,0.605,1.7,1.2225,1.54,0.31750000000000006,0.20208152801713064,0.20208152801713064,185.16533333333334,99.7814,271.664875,0.27665654166666664,3.314768541666666,12.4855,1.25725,0.8888888888888888,True
(Dy0.2Eu0.2Gd0.2Ho0.2Y0.2)2Ti2O7,"Dy,Eu,Gd,Ho,Y",Ti,"{""Ho"": 0.2, ""Y"": 0.2, ""Dy"": 0.2, ""Gd"": 0.2, ""Eu"": 0.2}","{""Ti"": 1.0}",15.88,1.036,0.605,1.712198347107438,high_entropy,literature_extraction,10.193378333333333,0.03979184526163815,1.036,0.605,1.712396694214876,1.218,1.5400000000000003,0.32200000000000006,0.21084731456076566,0.21084731456076566,185.1653333333333,99.78139999999999,273.8919,0.27732523333333337,3.3147685416666666,11.7954,1.2826,0.8888888888888887,True
(Gd0.3333La0.3333Nd0.3333)2Zr2O7,"Gd,La,Nd",Zr,"{""La"": 0.3333333333333333, ""Nd"": 0.3333333333333333, ""Gd"": 0.3333333333333333}","{""Zr"": 1.0}",10.2,0.6466,0.39599999999999996,1.5901805555555555,high_entropy,literature_extraction,10.730540560344826,0.030627871805844423,1.1824999999999999,0.72,1.642361111111111,1.1466666666666665,1.33,0.1833333333333334,0.16132467882373946,0.16132467882373946,166.759,87.3323,206.68955555555556,0.2777383333333333,2.7919711111111107,10.388571428571428,1.124285714285714,0.8366666666666667,True
(Gd0.3333La0.3333Nd0.3333)2(Ce0.25Zr0.75)2O7,"Gd,La,Nd","Ce,Zr","{""La"": 0.3333333333333333, ""Nd"": 0.3333333333333333, ""Gd"": 0.3333333333333333}","{""Zr"": 0.75, ""Ce"": 0.25}",10.6,0.1107,0.07575,1.462,high_entropy,literature_extraction,10.494970494439873,0.02382353911462239,1.088729411764706,0.6658823529411765,1.6407778317938746,1.167377450980392,1.4288235294117646,0.26144607843137263,0.16020513128200917,0.16020513128200917,174.09156565656565,92.82318484848486,234.6578964876033,0.27549084873737373,2.691430573168973,10.778906264323911,1.2628930801521712,0.854361705288176,
(Eu0.2Gd0.2La0.2Nd0.2Sm0.2)2Zr2O7,"Eu,Gd,La,Nd,Sm",Zr,"{""La"": 0.2, ""Nd"": 0.2, ""Sm"": 0.2, ""Gd"": 0.2, ""Eu"": 0.2}","{""Zr"": 1.0}",10.7,0.62392,0.39599999999999996,1.550125,high_entropy,literature_extraction,10.73778042025862,0.03195570472551874,1.1385,0.72,1.58125,1.162,1.33,0.1680000000000001,0.11811259775122851,0.11811259775122851,166.75899999999996,87.3323,210.04216666666667,0.2777383333333333,2.603978333333333,10.38857142857143,1.124285714285714,0.8366666666666666,True
(Ce0.2381Gd0.1905La0.1905Nd0.1905Sm0.1905)2(Eu0.2105Zr0.7895)2O7,"Ce,Gd,La,Nd,Sm","Eu,Zr","{""La"": 0.19047619047619047, ""Nd"": 0.19047619047619047, ""Sm"": 0.19047619047619047, ""Gd"": 0.19047619047619047, ""Ce"": 0.23809523809523808}","{""Zr"": 0.7894736842105263, ""Eu"": 0.2105263157894737}",11.2,0.10934,0.07575,1.443,high_entropy,literature_extraction,10.494970494439873,0.02382353911462239,1.088729411764706,0.6658823529411765,1.6407778317938746,1.167377450980392,1.4288235294117646,0.26144607843137263,0.16020513128200917,0.16020513128200917,174.09156565656565,92.82318484848486,234.6578964876033,0.27549084873737373,2.691430573168973,10.778906264323911,1.2628930801521712,0.854361705288176,
(Er0.2Gd0.2La0.2Nd0.2Yb0.2)2Zr2O7,"Er,Gd,La,Nd,Yb",Zr,"{""La"": 0.2, ""Nd"": 0.2, ""Gd"": 0.2, ""Er"": 0.2, ""Yb"": 0.2}","{""Zr"": 1.0}",11.705,1.08465,0.72,1.5064583333333332,high_entropy,literature_extraction,10.730540560344826,0.030627871805844423,1.1073,0.72,1.5379166666666666,1.156,1.33,0.17400000000000004,0.08747130389981117,0.08747130389981117,166.75899999999996,87.3323,206.68955555555553,0.2777383333333333,2.347182666666667,10.939142857142858,1.2525714285714287,0.766,True
(La0.5Yb0.5)2Zr2O7,"La,Yb",Zr,"{""La"": 0.5, ""Yb"": 0.5}","{""Zr"": 1.0}",10.8,1.18525,0.72,1.6461805555555555,high_entropy,literature_extraction,10.85213793103448,0.0,1.18525,0.72,1.6461805555555555,1.1,1.33,0.22999999999999998,0.1640254338907714,0.1640254338907714,155.689,81.8649,211.19466666666665,0.276298,2.20481,10.502857142857144,1.3764285714285713,0.8400000000000001,True
(La0.5Yb0.5)2Zr2O7,"La,Yb",Zr,"{""La"": 0.5, ""Yb"": 0.5}","{""Zr"": 1.0}",12.2,1.18525,0.72,1.6461805555555555,high_entropy,literature_extraction,10.85213793103448,0.0,1.18525,0.72,1.6461805555555555,1.1,1.33,0.22999999999999998,0.1640254338907714,0.1640254338907714,155.689,81.8649,211.19466666666665,0.276298,2.20481,10.502857142857144,1.3764285714285713,0.8400000000000001,True
(La0.5Yb0.5)2Zr2O7,"La,Yb",Zr,"{""La"": 0.5, ""Yb"": 0.5}","{""Zr"": 1.0}",13.0,1.18525,0.72,1.6461805555555555,high_entropy,literature_extraction,10.85213793103448,0.0,1.18525,0.72,1.6461805555555555,1.1,1.33,0.22999999999999998,0.1640254338907714,0.1640254338907714,155.689,81.8649,211.19466666666665,0.276298,2.20481,10.502857142857144,1.3764285714285713,0.8400000000000001,True
(La0.5Yb0.5)2Zr2O7,"La,Yb",Zr,"{""La"": 0.5, ""Yb"": 0.5}","{""Zr"": 1.0}",11.45,1.18525,0.72,1.6461805555555555,high_entropy,literature_extraction,10.85213793103448,0.0,1.18525,0.72,1.6461805555555555,1.1,1.33,0.22999999999999998,0.1640254338907714,0.1640254338907714,155.689,81.8649,211.19466666666665,0.276298,2.20481,10.502857142857144,1.3764285714285713,0.8400000000000001,True
(Sm0.5Yb0.5)2Ti2O7,"Sm,Yb",Ti,"{""Sm"": 0.5, ""Yb"": 0.5}","{""Ti"": 1.0}",12.2,1.0345,0.605,1.709917355371901,high_entropy,literature_extraction,10.167483333333333,0.0122973728339854,1.0345,0.605,1.709917355371901,1.135,1.54,0.405,0.20909415725203861,0.20909415725203861,174.09156565656565,92.82318484848486,234.6578964876033,0.27549084873737373,1.825,9.2525,1.2628930801521712,0.92,True
(Gd0.3333Sm0.3333Yb0.3333)2Ti2O7,"Gd,Sm,Yb",Ti,"{""Sm"": 0.3333333333333333, ""Gd"": 0.3333333333333333, ""Yb"": 0.3333333333333333}","{""Ti"": 1.0}",11.8,1.0406666666666666,0.605,1.7201101928374656,high_entropy,literature_extraction,10.18961388888889,0.01661441211516831,1.0406666666666666,0.605,1.7201101928374656,1.1566666666666667,1.54,0.38333333333333336,0.2163015817434717,0.2163015817434717,187.124,96.3292,249.19649999999996,0.2794186666666667,2.333735833333333,9.789,1.477,0.9088888888888889,True
(Er0.25Gd0.25Sm0.25Yb0.25)2Ti2O7,"Er,Gd,Sm,Yb",Ti,"{""Sm"": 0.25, ""Gd"": 0.25, ""Er"": 0.25, ""Yb"": 0.25}","{""Ti"": 1.0}",12.2,1.0314999999999999,0.605,1.7049586776859502,high_entropy,literature_extraction,10.17686875,0.021644673367729232,1.0314999999999999,0.605,1.7049586776859502,1.1775000000000002,1.54,0.36250000000000004,0.20558784263458452,0.20558784263458452,187.2175,99.8561,255.57625000000002,0.2731673333333333,2.616561875,10.54175,1.477,0.8954166666666667,True
(Dy0.2Er0.2Gd0.2Sm0.2Yb0.2)2Ti2O7,"Dy,Er,Gd,Sm,Yb",Ti,"{""Sm"": 0.2, ""Gd"": 0.2, ""Dy"": 0.2, ""Er"": 0.2, ""Yb"": 0.2}","{""Ti"": 1.0}",9.9,1.0306,0.605,1.7034710743801653,high_entropy,literature_extraction,10.164275,0.026627575503417766,1.0306,0.605,1.7034710743801653,1.188,1.5400000000000003,0.3520000000000001,0.2045359482493485,0.2045359482493485,186.78566666666666,100.73039999999999,262.1873333333333,0.2733080555555555,2.8234468333333336,11.1194,1.2320000000000002,0.9083333333333334,True
(Dy0.2Eu0.2Gd0.2Ho0.2Y0.2)2Ti2O7,"Dy,Eu,Gd,Ho,Y",Ti,"{""Ho"": 0.2, ""Y"": 0.2, ""Dy"": 0.2, ""Gd"": 0.2, ""Eu"": 0.2}","{""Ti"": 1.0}",15.9,1.036,0.605,1.712396694214876,high_entropy,literature_extraction,10.193378333333333,0.03979184526163815,1.036,0.605,1.712396694214876,1.218,1.5400000000000003,0.32200000000000006,0.21084731456076566,0.21084731456076566,185.1653333333333,99.78139999999999,273.8919,0.27732523333333337,3.3147685416666666,11.7954,1.2826,0.8888888888888887,True
(Dy0.25Lu0.25Sm0.25Tb0.25)2(Eu0.5Zr0.5)2O7,"Dy,Lu,Sm,Tb","Eu,Zr","{""Sm"": 0.25, ""Tb"": 0.25, ""Dy"": 0.25, ""Lu"": 0.25}","{""Zr"": 0.5, ""Eu"": 0.5}",12.42,1.038,0.72,1.441,high_entropy,literature_extraction,10.494970494439873,0.02382353911462239,1.088729411764706,0.6658823529411765,1.6407778317938746,1.167377450980392,1.4288235294117646,0.26144607843137263,0.16020513128200917,0.16020513128200917,174.09156565656565,92.82318484848486,234.6578964876033,0.27549084873737373,2.691430573168973,10.778906264323911,1.2628930801521712,0.854361705288176,
(Gd0.25La0.25Nd0.25Sm0.25)2(Eu0.5Zr0.5)2O7,"Gd,La,Nd,Sm","Eu,Zr","{""La"": 0.25, ""Nd"": 0.25, ""Sm"": 0.25, ""Gd"": 0.25}","{""Zr"": 0.5, ""Eu"": 0.5}",10.75,1.093,0.72,1.519,high_entropy,literature_extraction,10.494970494439873,0.02382353911462239,1.088729411764706,0.6658823529411765,1.6407778317938746,1.167377450980392,1.4288235294117646,0.26144607843137263,0.16020513128200917,0.16020513128200917,174.09156565656565,92.82318484848486,234.6578964876033,0.27549084873737373,2.691430573168973,10.778906264323911,1.2628930801521712,0.854361705288176,
(Dy0.2Er0.2Gd0.2Sm0.2Yb0.2)2Ti2O7,"Dy,Er,Gd,Sm,Yb",Ti,"{""Sm"": 0.2, ""Yb"": 0.2, ""Gd"": 0.2, ""Er"": 0.2, ""Dy"": 0.2}","{""Ti"": 1.0}",9.9,1.0303,0.605,1.7027355371900827,high_entropy,literature_extraction,10.164275,0.026627575503417766,1.0306,0.605,1.7034710743801653,1.188,1.5400000000000003,0.35200000000000004,0.2045359482493485,0.2045359482493485,186.78566666666666,100.7304,262.1873333333333,0.27330805555555554,2.8234468333333327,11.1194,1.2320000000000002,0.9083333333333334,True
(Gd0.25La0.25Sm0.25Y0.25)2(Ce0.5Zr0.5)2O7,"Gd,La,Sm,Y","Ce,Zr","{""La"": 0.25, ""Gd"": 0.25, ""Y"": 0.25, ""Sm"": 0.25}","{""Zr"": 0.5, ""Ce"": 0.5}",6.61,1.091,0.72,1.515,high_entropy,literature_extraction,10.494970494439873,0.02382353911462239,1.088729411764706,0.6658823529411765,1.6407778317938746,1.167377450980392,1.4288235294117646,0.26144607843137263,0.16020513128200917,0.16020513128200917,174.09156565656565,92.82318484848486,234.6578964876033,0.27549084873737373,2.691430573168973,10.778906264323911,1.2628930801521712,0.854361705288176,
(Gd0.25La0.25Nd0.25Pr0.25)2(Ce0.5Hf0.5)2O7,"Gd,La,Nd,Pr","Ce,Hf","{""La"": 0.25, ""Pr"": 0.25, ""Nd"": 0.25, ""Gd"": 0.25}","{""Hf"": 0.5, ""Ce"": 0.5}",12.54,1.118,0.71,1.575,high_entropy,literature_extraction,10.494970494439873,0.02382353911462239,1.088729411764706,0.6658823529411765,1.6407778317938746,1.167377450980392,1.4288235294117646,0.26144607843137263,0.16020513128200917,0.16020513128200917,174.09156565656565,92.82318484848486,234.6578964876033,0.27549084873737373,2.691430573168973,10.778906264323911,1.2628930801521712,0.854361705288176,
(Eu0.2Gd0.2Lu0.2Sm0.2Y0.2)2Ti2O7,"Eu,Gd,Lu,Sm,Y",Ti,"{""Sm"": 0.2, ""Gd"": 0.2, ""Y"": 0.2, ""Lu"": 0.2, ""Eu"": 0.2}","{""Ti"": 1.0}",9.04,1.0388,0.605,1.7170247933884297,high_entropy,literature_extraction,10.253235416666666,0.01546137977179113,1.0388,0.605,1.7170247933884297,1.212,1.5400000000000003,0.32800000000000007,0.2141198748703892,0.2141198748703892,184.78699999999998,98.43260000000001,268.41666666666663,0.27767888888888886,2.9893625,9.1524,1.3866666666666665,0.9683333333333334,True
(Ce0.15Eu0.15Nd0.4Sm0.15Yb0.15)2Zr2O7,"Ce,Eu,Nd,Sm,Yb",Zr,"{""Nd"": 0.4, ""Sm"": 0.15, ""Yb"": 0.15, ""Ce"": 0.15, ""Eu"": 0.15}","{""Zr"": 1.0}",18.2,1.0845500000000001,0.72,1.5063194444444448,high_entropy,literature_extraction,10.794310408163264,0.013596883361890357,1.0845500000000001,0.72,1.5063194444444448,1.1445,1.33,0.1855000000000001,0.06512869379981989,0.06512869379981989,172.4,99.20000000000002,205.04545454545453,0.26,2.1294117647058823,11.396363636363636,1.137272727272727,0.7254545454545455,True
(Ce0.15Eu0.15Nd0.4Sm0.15Yb0.15)2Zr2O7,"Ce,Eu,Nd,Sm,Yb",Zr,"{""Nd"": 0.4, ""Sm"": 0.15, ""Yb"": 0.15, ""Ce"": 0.15, ""Eu"": 0.15}","{""Zr"": 1.0}",18.2,1.0845500000000001,0.72,1.5063194444444448,high_entropy,literature_extraction,10.794310408163264,0.013596883361890357,1.0845500000000001,0.72,1.5063194444444448,1.1445,1.33,0.1855000000000001,0.06512869379981989,0.06512869379981989,172.4,99.20000000000002,205.04545454545453,0.26,2.1294117647058823,11.396363636363636,1.137272727272727,0.7254545454545455,True
(Gd0.5Y0.5)2Ti2O7,"Gd,Y",Ti,"{""Gd"": 0.5, ""Y"": 0.5}","{""Ti"": 1.0}",9.085,1.036,0.605,1.712396694214876,high_entropy,literature_extraction,10.225220833333335,0.0016927099781460881,1.036,0.605,1.712396694214876,1.21,1.54,0.33000000000000007,0.21084731456076566,0.21084731456076566,184.78699999999998,98.43260000000001,261.22499999999997,0.2765183333333333,3.6240437500000002,10.405999999999999,1.388,0.8866666666666667,True
(Er0.25Gd0.25Sm0.25Yb0.25)2Ti2O7,"Er,Gd,Sm,Yb",Ti,"{""Sm"": 0.25, ""Yb"": 0.25, ""Gd"": 0.25, ""Er"": 0.25}","{""Ti"": 1.0}",10.24,1.0314999999999999,0.605,1.7049586776859502,high_entropy,literature_extraction,10.176868749999999,0.021644673367729236,1.0314999999999999,0.605,1.7049586776859502,1.1775,1.54,0.36250000000000004,0.20558784263458452,0.20558784263458452,187.2175,99.8561,255.57625000000002,0.2731673333333333,2.616561875,10.54175,1.477,0.8954166666666666,True
(Dy0.2Er0.2Gd0.2Sm0.2Yb0.2)2Ti2O7,"Dy,Er,Gd,Sm,Yb",Ti,"{""Sm"": 0.2, ""Yb"": 0.2, ""Gd"": 0.2, ""Er"": 0.2, ""Dy"": 0.2}","{""Ti"": 1.0}",10.14,1.0306,0.605,1.7034710743801653,high_entropy,literature_extraction,10.164275,0.026627575503417766,1.0306,0.605,1.7034710743801653,1.188,1.5400000000000003,0.35200000000000004,0.2045359482493485,0.2045359482493485,186.78566666666666,100.7304,262.1873333333333,0.27330805555555554,2.8234468333333327,11.1194,1.2320000000000002,0.9083333333333334,True
(Dy0.2Er0.2Gd0.2Sm0.2Yb0.2)2Ti2O7,"Dy,Er,Gd,Sm,Yb",Ti,"{""Gd"": 0.2, ""Sm"": 0.2, ""Dy"": 0.2, ""Er"": 0.2, ""Yb"": 0.2}","{""Ti"": 1.0}",12.68,1.0306,0.605,1.7117355371900826,high_entropy,literature_extraction,10.164275,0.026627575503417766,1.0306,0.605,1.7034710743801653,1.188,1.5400000000000003,0.3520000000000001,0.2045359482493485,0.2045359482493485,186.78566666666666,100.73039999999999,262.1873333333333,0.2733080555555555,2.8234468333333336,11.1194,1.2320000000000002,0.9083333333333334,True
(Eu0.2Gd0.2La0.2Nd0.2Sm0.2)2Ti2O7,"Eu,Gd,La,Nd,Sm",Ti,"{""La"": 0.2, ""Nd"": 0.2, ""Sm"": 0.2, ""Gd"": 0.2, ""Eu"": 0.2}","{""Ti"": 1.0}",7.85,1.0956,0.605,1.8109090909090908,high_entropy,literature_extraction,10.374685,0.06316914682228907,1.0956,0.605,1.8109090909090908,1.162,1.5400000000000003,0.37800000000000006,0.28050609829418405,0.28050609829418405,178.137,91.70809999999999,251.6628333333333,0.2799002222222222,3.5450024999999994,8.767333333333333,1.4305,0.9683333333333334,False
(Eu0.2Gd0.2La0.2Nd0.2Sm0.2)2Zr2O7,"Eu,Gd,La,Nd,Sm",Zr,"{""La"": 0.2, ""Nd"": 0.2, ""Sm"": 0.2, ""Gd"": 0.2, ""Eu"": 0.2}","{""Zr"": 1.0}",12.3,1.1385,0.72,1.58125,high_entropy,literature_extraction,10.73778042025862,0.03195570472551874,1.1385,0.72,1.58125,1.162,1.33,0.1680000000000001,0.11811259775122851,0.11811259775122851,166.75899999999996,87.3323,210.04216666666667,0.2777383333333333,2.603978333333333,10.38857142857143,1.124285714285714,0.8366666666666666,True
(Eu0.2Gd0.2La0.2Nd0.2Sm0.2)2Zr2O7,"Eu,Gd,La,Nd,Sm",Zr,"{""La"": 0.2, ""Nd"": 0.2, ""Sm"": 0.2, ""Gd"": 0.2, ""Eu"": 0.2}","{""Zr"": 1.0}",11.7,1.1385,0.72,1.58125,high_entropy,literature_extraction,10.73778042025862,0.03195570472551874,1.1385,0.72,1.58125,1.162,1.33,0.1680000000000001,0.11811259775122851,0.11811259775122851,166.75899999999996,87.3323,210.04216666666667,0.2777383333333333,2.603978333333333,10.38857142857143,1.124285714285714,0.8366666666666666,True
(Eu0.2Gd0.2La0.2Nd0.2Sm0.2)2Zr2O7,"Eu,Gd,La,Nd,Sm",Zr,"{""La"": 0.2, ""Nd"": 0.2, ""Sm"": 0.2, ""Gd"": 0.2, ""Eu"": 0.2}","{""Zr"": 1.0}",12.7,0.6239,0.72,1.5506250000000001,high_entropy,literature_extraction,10.73778042025862,0.03195570472551874,1.1385,0.72,1.58125,1.162,1.33,0.1680000000000001,0.11811259775122851,0.11811259775122851,166.75899999999996,87.3323,210.04216666666667,0.2777383333333333,2.603978333333333,10.38857142857143,1.124285714285714,0.8366666666666666,True
(Er0.2La0.2Nd0.2Y0.2Yb0.2)2Zr2O7,"Er,La,Nd,Y,Yb",Zr,"{""La"": 0.2, ""Nd"": 0.2, ""Y"": 0.2, ""Er"": 0.2, ""Yb"": 0.2}","{""Zr"": 1.0}",11.47,1.1005,0.72,1.5284722222222222,high_entropy,literature_extraction,10.743469310344825,0.025777392077901036,1.1005,0.72,1.5284722222222222,1.16,1.33,0.17000000000000007,0.08079307318860507,0.08079307318860507,162.9333333333333,89.20706666666666,210.2472222222222,0.269331,2.470057,10.898928571428574,1.2757142857142858,0.7725000000000001,True
(Gd0.2La0.2Nd0.2Sm0.2Yb0.2)2Zr2O7,"Gd,La,Nd,Sm,Yb",Zr,"{""La"": 0.2, ""Nd"": 0.2, ""Sm"": 0.2, ""Gd"": 0.2, ""Yb"": 0.2}","{""Zr"": 1.0}",10.96,1.1223,0.72,1.55875,high_entropy,literature_extraction,10.730540560344826,0.030627871805844423,1.1223,0.72,1.55875,1.142,1.33,0.18800000000000006,0.10220269517453118,0.10220269517453118,166.75899999999996,87.3323,210.04216666666667,0.2777383333333333,2.4351826666666665,10.811428571428573,1.2257142857142858,0.7925,True
(Eu0.2Gd0.2La0.2Nd0.2Sm0.2)2Zr2O7,"Eu,Gd,La,Nd,Sm",Zr,"{""La"": 0.2, ""Nd"": 0.2, ""Sm"": 0.2, ""Gd"": 0.2, ""Eu"": 0.2}","{""Zr"": 1.0}",10.75,1.1385,0.72,1.58125,high_entropy,literature_extraction,10.73778042025862,0.03195570472551874,1.1385,0.72,1.58125,1.162,1.33,0.1680000000000001,0.11811259775122851,0.11811259775122851,166.75899999999996,87.3323,210.04216666666667,0.2777383333333333,2.603978333333333,10.38857142857143,1.124285714285714,0.8366666666666666,True
(Eu0.2Gd0.2La0.2Nd0.2Sm0.2)2Zr2O7,"Eu,Gd,La,Nd,Sm",Zr,"{""La"": 0.2, ""Nd"": 0.2, ""Sm"": 0.2, ""Gd"": 0.2, ""Eu"": 0.2}","{""Zr"": 1.0}",13.5,1.1385,0.72,1.58125,high_entropy,literature_extraction,10.73778042025862,0.03195570472551874,1.1385,0.72,1.58125,1.162,1.33,0.1680000000000001,0.11811259775122851,0.11811259775122851,166.75899999999996,87.3323,210.04216666666667,0.2777383333333333,2.603978333333333,10.38857142857143,1.124285714285714,0.8366666666666666,True
(Eu0.2Gd0.2Nd0.2Sm0.2Yb0.2)2Zr2O7,"Eu,Gd,Nd,Sm,Yb",Zr,"{""Yb"": 0.2, ""Nd"": 0.2, ""Sm"": 0.2, ""Gd"": 0.2, ""Eu"": 0.2}","{""Zr"": 1.0}",9.63,1.0584,0.72,1.47,high_entropy,literature_extraction,10.699661249999998,0.02494424765083116,1.0584,0.72,1.47,1.162,1.33,0.1680000000000001,0.0394469683442249,0.0394469683442249,172.29399999999998,90.06600000000002,209.658,0.2784585,2.3815733333333333,11.44,1.2266666666666666,0.7166666666666667,True
(Ce0.2Gd0.2La0.2Sm0.2Y0.2)2Zr2O7,"Ce,Gd,La,Sm,Y",Zr,"{""La"": 0.2, ""Gd"": 0.2, ""Y"": 0.2, ""Sm"": 0.2, ""Ce"": 0.2}","{""Zr"": 1.0}",6.61,1.1359,0.72,1.5223194444444443,high_entropy,literature_extraction,10.727145063115763,0.052777579601278206,1.1359,0.72,1.5776388888888888,1.162,1.33,0.16800000000000004,0.11555915659694338,0.11555915659694338,162.86266666666666,83.11773333333333,215.2289166666667,0.2816366666666666,3.161315666666667,10.012857142857143,1.1914285714285713,0.8799999999999999,True
