aflow_prototype_params_list_relax,aflow_prototype_params_values_relax,auid,aurl,composition,compound,density,energy_atom,enthalpy_atom,natoms,spin_atom
"a,x4","10.7535,0.412346",aflow:02b83be6fa45621f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Eu2O7Sn2_ICSD_165931,"4,14,4",Eu4O14Sn4,6.97914,-7.60395,-7.60395,22,1.09092
"a,x4","10.615,0.408404",aflow:03cafe802be14a86,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Sn2Tb2_ICSD_159789,"14,4,4",O14Sn4Tb4,7.41062,-7.11238,-7.11238,22,0
"a,x4","10.8226,0.363095",aflow:062a523c2f69593e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/La2O7Zr2_ICSD_184090,"4,14,4",La4O14Zr4,5.99694,-8.53523,-8.53523,22,0
"a,x4","10.4531,0.817257",aflow:0772a1c8b599cae6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Hg2O7Os2_ICSD_159800,"4,14,4",Hg4O14Os4,10.3929,-5.47961,-5.47961,22,0.53022
"a,x3,x4","12.6758,0.784033,0.73059",aflow:078ec14056edbac6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C4K2N4Zn1_ICSD_23993,"8,4,8,2",C8K4N8Zn2,1.61528,-6.79284,-6.79284,22,0
"a,x4","10.5101,0.432883",aflow:09ff0d09d272bd58,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd2Nb2O7_ICSD_75602,"4,4,14",Cd4Nb4O14,5.98009,-6.96766,-6.96766,22,0
"a,x4","10.7593,0.412651",aflow:0b10e0843fba0a6d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Eu2O7Sn2_ICSD_84754,"4,14,4",Eu4O14Sn4,6.96777,-7.60371,-7.60371,22,1.09084
"a,x4","9.9871,0.831675",aflow:0d1208a0e9f34861,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Er2Mn2O7_ICSD_202517,"4,4,14",Er4Mn4O14,7.41997,-7.79849,-7.79849,22,0.545491
"a,x4","10.5206,0.421238",aflow:0e516a9b5a44c7c6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Pr2Ru2_ICSD_78123,"14,4,4",O14Pr4Ru4,6.79873,-7.3744,-7.3744,22,0.727256
"a,x4","10.9692,0.833368",aflow:0e780d73b1b4da8f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/La2O7Sn2_ICSD_82956,"4,14,4",La4O14Sn4,6.31256,-7.06214,-7.06214,22,0
"a,x4","10.7416,0.437266",aflow:10a6f530f72927cb,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Sn2Ta2_ICSD_27119,"14,4,4",O14Sn4Ta4,7.62363,-7.95561,-7.95561,22,0
"a,x4","10.8233,0.886918",aflow:114c41b16be2e44f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/La2O7Zr2_ICSD_184091,"4,14,4",La4O14Zr4,5.99581,-8.53523,-8.53523,22,0
"a,x4","10.8637,0.421529",aflow:11c9372b0f238e69,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Hf2La2O7_ICSD_236209,"4,4,14",Hf4La4O14,7.73747,-9.3467,-9.3467,22,0
"a,x4","10.5348,0.817043",aflow:11506721a61caf80,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ca2Nb2O7_ICSD_72206,"4,4,14",Ca4Nb4O14,4.29451,-8.01923,-8.01923,22,0
"a,x4","10.453,0.817262",aflow:121f0ee16c60c90a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Hg2O7Os2_ICSD_159804,"4,14,4",Hg4O14Os4,10.3931,-5.47961,-5.47961,22,0.530222
"a,x4","10.563,0.843012",aflow:13ad7152ee2bada8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ho2O7Sn2_ICSD_82961,"4,14,4",Ho4O14Sn4,7.65603,-7.10373,-7.10373,22,0
"a,x4","10.5024,0.419969",aflow:13424be793e4ee26,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Bi2O7Ru2_ICSD_73787,"4,14,4",Bi4O14Ru4,8.39541,-6.13347,-6.13347,22,0.363628
"a,x4","10.8447,0.834962",aflow:140d3e2656d49b94,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Bi2O7Sn2_ICSD_50311,"4,14,4",Bi4O14Sn4,7.99231,-5.90772,-5.90772,22,0
"a,x4","10.7365,0.418368",aflow:14d786d35c76cb0f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Hf2Nd2O7_ICSD_236210,"4,4,14",Hf4Nd4O14,8.13024,-9.69325,-9.69325,22,0.545505
"a,x4","10.4576,0.833735",aflow:148bf06809f995c0,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ca2F1O6Ta2_ICSD_50048,"4,2,12,4",Ca4F2O12Ta4,6.47054,-8.1495,-8.1495,22,0.0902556
"a,x4","10.0566,0.41755",aflow:15306e405a40d418,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Er2O7V2_ICSD_160866,"4,14,4",Er4O14V4,7.16276,-8.20866,-8.20866,22,0.181812
"a,x4","10.855,0.414142",aflow:151fad1cd73ac6ff,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Pr2Sn2_ICSD_84744,"14,4,4",O14Pr4Sn4,6.55556,-7.22882,-7.22882,22,0.363631
"a,x4","10.3427,0.822018",aflow:15ae777e26b8ed99,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd2O7Os2_ICSD_155771,"4,14,4",Cd4O14Os4,8.61175,-5.83499,-5.83499,22,0.544937
"a,x4","13.1038,0.401451",aflow:191150f658e2756f,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/PPb_dSb/ICSD_27120.ABC,"14,4,4",P14Pb4Sb4,5.16436,-4.17371,-4.17371,22,0
"a,x4","12.1707,0.4114",aflow:198820f801249ded,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/PPtSb/ICSD_108965.ABC,"14,4,4",P14Pt4Sb4,6.26702,-5.07542,-5.07542,22,0
"a,x4","10.2515,0.419145",aflow:1a1f97538dbfcd5d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Tb2Ti2_ICSD_159782,"14,4,4",O14Tb4Ti4,6.48135,-8.27693,-8.27693,22,0
"a,x4","10.8866,0.833166",aflow:1b18bb6ddec219e1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ce2O7Zr2_ICSD_168600,"4,14,4",Ce4O14Zr4,5.91672,-9.00724,-9.00724,22,0.18181
"a,x4","10.4531,0.817257",aflow:1b8f86be95bc181e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Hg2O7Os2_ICSD_159797,"4,14,4",Hg4O14Os4,10.3928,-5.47961,-5.47961,22,0.53022
"a,x4","10.6808,0.839982",aflow:1bd337a4b406d822,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Gd2O7Sn2_ICSD_84753,"4,14,4",Gd4O14Sn4,7.23794,-8.76022,-8.76022,22,1.27273
"a,x4","10.509,0.432754",aflow:1cb434fbbae8abfa,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd2Nb2O7_ICSD_9714,"4,4,14",Cd4Nb4O14,5.98209,-6.9677,-6.9677,22,0
"a,x4","10.2423,0.830875",aflow:1df6f77ee78226a6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Ti2Y2_ICSD_15633,"14,4,4",O14Ti4Y4,4.76758,-8.59565,-8.59565,22,0
"a,x4","10.1665,0.831106",aflow:20c791ce08b3aaab,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Co2O7Sb2_ICSD_247302,"4,14,4",Co4O14Sb4,5.98438,-5.95436,-5.95436,22,0.545441
"a,x4","10.5017,0.838027",aflow:213fbef41f8612df,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Dy2Hf2O7_ICSD_162004,"4,4,14",Dy4Hf4O14,9.10692,-9.37413,-9.37413,22,0
"a,x4","10.3439,0.427989",aflow:22f5cb84ee0d48e7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd2O7Os2_ICSD_155765,"4,14,4",Cd4O14Os4,8.6088,-5.83499,-5.83499,22,0.54494
"a,x4","10.3749,0.819842",aflow:2244fd8fc6042b21,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd2O7Re2_ICSD_28445,"4,14,4",Cd4O14Re4,8.43657,-6.39711,-6.39711,22,0.363636
"a,x4","10.2514,0.419154",aflow:23120c71c0b95db2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Tb2Ti2_ICSD_159785,"14,4,4",O14Tb4Ti4,6.48162,-8.27694,-8.27694,22,0
"a,x4","10.1389,0.83264",aflow:2351290d30c636b9,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Ti2Yb2_ICSD_186196,"14,4,4",O14Ti4Yb4,7.0595,-7.2334,-7.2334,22,-0.181462
"a,x4","10.9524,0.831232",aflow:230367ea2c50156c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/La2O7Zr2_ICSD_154752,"4,14,4",La4O14Zr4,5.78618,-8.96011,-8.96011,22,0
"a,x4","10.9503,0.418758",aflow:247bbd3ebc05c5d2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/La2O7Zr2_ICSD_153222,"4,14,4",La4O14Zr4,5.78956,-8.96009,-8.96009,22,0
"a,x4","10.5356,0.817428",aflow:2507c8eba74d0028,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd2O7Ta2_ICSD_77061,"4,14,4",Cd4O14Ta4,7.93697,-7.38323,-7.38323,22,0
"a,x4","10.2422,0.419285",aflow:263678ba745fc81c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Ti2Y2_ICSD_24206,"14,4,4",O14Ti4Y4,4.7677,-8.59564,-8.59564,22,0
"a,x4","10.2211,0.892333",aflow:27893b56ecab0821,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd2Nb2O7_ICSD_33672,"4,4,14",Cd4Nb4O14,6.50184,-6.68657,-6.68657,22,0
"a,x4","10.8361,0.415836",aflow:287347360975e3fa,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Pr2Zr2_ICSD_150207,"14,4,4",O14Pr4Zr4,6.01635,-9.12397,-9.12397,22,0.36356
"a,x4","9.518,0.821494",aflow:2859f7f97921edc5,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/In2O7Si2_ICSD_1458,"4,14,4",In4O14Si4,6.12875,-6.77045,-6.77045,22,0
"a,x4","10.4824,0.838738",aflow:2abe19acdd8fcd02,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Hf2Ho2O7_ICSD_162005,"4,4,14",Hf4Ho4O14,9.21326,-9.36745,-9.36745,22,0
"a,x4","10.2424,0.830772",aflow:2b22c02fd653163d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Ti2Y2_ICSD_42702,"14,4,4",O14Ti4Y4,4.76732,-8.59561,-8.59561,22,0
"a,x4","10.6153,0.408392",aflow:2db3dbc9b38c36d7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Sn2Tb2_ICSD_159790,"14,4,4",O14Sn4Tb4,7.40993,-7.11239,-7.11239,22,0
"a,x4","10.6037,0.408209",aflow:2e0f15e68d17a377,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Sn2Y2_ICSD_84805,"14,4,4",O14Sn4Y4,5.87398,-7.43094,-7.43094,22,0
"a,x4","10.5,0.419893",aflow:2f1d5517583903d3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Bi2O7Ru2_ICSD_166567,"4,14,4",Bi4O14Ru4,8.40117,-6.13344,-6.13344,22,0.363626
"a,x4","10.3363,0.820449",aflow:30fa88014dbc0ad5,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd2O7Tc2_ICSD_180008,"4,14,4",Cd4O14Tc4,6.4313,-5.89121,-5.89121,22,0.363774
"a,x4","10.2396,0.830948",aflow:31b61379d4fb0fc3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Ti2Y2_ICSD_93770,"14,4,4",O14Ti4Y4,4.77134,-8.5956,-8.5956,22,0
"a,x4","10.6183,0.813547",aflow:3194a3cbf41303b8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Hg2Nb2O7_ICSD_22226,"4,4,14",Hg4Nb4O14,7.75602,-6.61068,-6.61068,22,0
"a,x4","10.5105,0.817094",aflow:32b9e9ca9bb557c5,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd2Nb2O7_ICSD_168998,"4,4,14",Cd4Nb4O14,5.97942,-6.96766,-6.96766,22,0
"a,x4","10.82,0.415362",aflow:34577a021bcc3bf6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Nd2O7Zr2_ICSD_62793,"4,14,4",Nd4O14Zr4,6.11306,-9.29553,-9.29553,22,0.545393
"a,x4","10.2516,0.419245",aflow:35df7b9dd18ee3cd,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Tb2Ti2_ICSD_159784,"14,4,4",O14Tb4Ti4,6.48125,-8.27694,-8.27694,22,0
"a,x4","10.4521,0.432405",aflow:36c928c62270d974,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Hg2O7Os2_ICSD_159802,"4,14,4",Hg4O14Os4,10.3959,-5.47952,-5.47952,22,0.53054
"a,x4","10.3439,0.822008",aflow:377b19b09bf04cd6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd2O7Os2_ICSD_155763,"4,14,4",Cd4O14Os4,8.60875,-5.83499,-5.83499,22,0.544941
"a,x4","10.5107,0.831809",aflow:3738d8faeea43080,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Nd2O7Ru2_ICSD_78133,"4,14,4",Nd4O14Ru4,6.89427,-7.61767,-7.61767,22,0.90913
"a,x4","10.9715,0.833341",aflow:39d6247fa8017e9a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/La2O7Sn2_ICSD_167144,"4,14,4",La4O14Sn4,6.30861,-7.06214,-7.06214,22,0
"a,x4","10.4525,0.817264",aflow:3a61baf6dcbf9163,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Hg2O7Os2_ICSD_159807,"4,14,4",Hg4O14Os4,10.3948,-5.47961,-5.47961,22,0.530205
"a,x4","10.054,0.419891",aflow:3a4a6876faf133b0,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Mn2O7Y2_ICSD_202516,"4,14,4",Mn4O14Y4,5.22444,-8.10328,-8.10328,22,0.545395
"a,x4","10.2314,0.838808",aflow:3add5c3f5522b969,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ho2O7Ru2_ICSD_96730,"4,14,4",Ho4O14Ru4,7.98764,-7.36749,-7.36749,22,0.363642
"a,x4","10.5039,0.830191",aflow:3b5090fa3a09cc57,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Bi2O7Ru2_ICSD_166566,"4,14,4",Bi4O14Ru4,8.39178,-6.13343,-6.13343,22,0.363627
"a,x4","10.8209,0.834664",aflow:3c35f9884057a217,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Nd2O7Zr2_ICSD_249974,"4,14,4",Nd4O14Zr4,6.11165,-9.29553,-9.29553,22,0.545411
"a,x4","10.1402,0.417298",aflow:3d6287c20288a1ef,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Ti2Yb2_ICSD_161405,"14,4,4",O14Ti4Yb4,7.0568,-7.2334,-7.2334,22,0.181804
"a,x4","10.1121,0.831213",aflow:3d1f3040f69c29a8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Dy2O7V2_ICSD_160863,"4,14,4",Dy4O14V4,6.92329,-8.20289,-8.20289,22,0.181793
"a,x4","10.5344,0.432483",aflow:3d7ea012d0f48467,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd2O7Ta2_ICSD_27123,"4,14,4",Cd4O14Ta4,7.93969,-7.38325,-7.38325,22,0
"a,x4","10.8271,0.362968",aflow:3f79a5060d7a9a11,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/La2O7Zr2_ICSD_184102,"4,14,4",La4O14Zr4,5.98936,-8.53518,-8.53518,22,0
"a,x4","10.8216,0.415323",aflow:3f94e58e38411237,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Nd2O7Zr2_ICSD_174187,"4,14,4",Nd4O14Zr4,6.11034,-9.29553,-9.29553,22,0.545454
"a,x4","10.5109,0.831806",aflow:4087639876ca3f66,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Nd2O7Ru2_ICSD_79327,"4,14,4",Nd4O14Ru4,6.89386,-7.61767,-7.61767,22,0.909143
"a,x4","10.9,0.432443",aflow:419c4b6caa59a978,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cu2F6Hg2S1_ICSD_156367,"4,12,4,2",Cu4F12Hg4S2,6.9172,-3.17768,-3.17768,22,0.182047
"a,x4","10.3034,0.417199",aflow:4260df9809b76428,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Gd2O7Ru2_ICSD_79332,"4,14,4",Gd4O14Ru4,7.63474,-7.80877,-7.80877,22,1.26958
"a,x4","10.7361,0.348734",aflow:4211fa0b4a8c987c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Pb2Sb2_ICSD_24246,"14,4,4",O14Pb4Sb4,8.2649,-5.51484,-5.51484,22,0
"a,x4","10.9566,0.418728",aflow:42214ee738e23258,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/La2O7Zr2_ICSD_153814,"4,14,4",La4O14Zr4,5.7795,-8.9601,-8.9601,22,0
"a,x3,x4","13.0757,0.723342,0.775162",aflow:4397ed9a800a61af,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C4Cd1K2N4_ICSD_23994,"8,2,4,8",C8Cd2K4N8,1.75104,-6.69079,-6.69079,22,0
"a,x4","10.6063,0.408248",aflow:43a95bb7cd8a43ac,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Sn2Y2_ICSD_153817,"14,4,4",O14Sn4Y4,5.86971,-7.43093,-7.43093,22,0
"a,x4","10.4531,0.81726",aflow:455356e5dfe33177,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Hg2O7Os2_ICSD_159796,"4,14,4",Hg4O14Os4,10.393,-5.47961,-5.47961,22,0.530221
"a,x4","10.508,0.817316",aflow:45da11711f06cd30,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd2Nb2O7_ICSD_27122,"4,4,14",Cd4Nb4O14,5.98381,-6.96768,-6.96768,22,0
"a,x4","10.8859,0.83311",aflow:46c19ace37abc759,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ce2O7Zr2_ICSD_168596,"4,14,4",Ce4O14Zr4,5.9179,-9.00725,-9.00725,22,0.18181
"a,x4","10.535,0.817494",aflow:465fb4e9bb6a474e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd2O7Ta2_ICSD_9715,"4,14,4",Cd4O14Ta4,7.93838,-7.38327,-7.38327,22,0
"a,x4","10.8264,0.363044",aflow:463c5b0d17fa2d9a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/La2O7Zr2_ICSD_184098,"4,14,4",La4O14Zr4,5.99057,-8.5352,-8.5352,22,0
"a,x4","10.2396,0.830958",aflow:474cec417886a308,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Ti2Y2_ICSD_167563,"14,4,4",O14Ti4Y4,4.77128,-8.5956,-8.5956,22,0
"a,x4","10.3438,0.822011",aflow:47d700b6c56b509e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd2O7Os2_ICSD_155766,"4,14,4",Cd4O14Os4,8.60885,-5.83499,-5.83499,22,0.54494
"a,x4","10.9722,0.833292",aflow:47f7fd7233cdb705,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/La2O7Sn2_ICSD_24195,"4,14,4",La4O14Sn4,6.30751,-7.06209,-7.06209,22,0
"a,x4","10.6799,0.83227",aflow:491d48d0074836ad,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Eu2Hf2O7_ICSD_236212,"4,4,14",Eu4Hf4O14,8.42866,-9.88435,-9.88435,22,1.09103
"a,x4","10.5375,0.817079",aflow:4aaabc9e717d320e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ca2Nb2O7_ICSD_22411,"4,4,14",Ca4Nb4O14,4.29127,-8.01925,-8.01925,22,0
"a,x4","10.5217,0.843614",aflow:4b573afa6b1e0d55,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Sn2Yb2_ICSD_82964,"14,4,4",O14Sn4Yb4,7.93136,-6.046,-6.046,22,0.181824
"a,x4","10.3153,0.829202",aflow:4ce95fbe3fce93b1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Gd2O7Ti2_ICSD_24207,"4,14,4",Gd4O14Ti4,6.3214,-9.91623,-9.91623,22,1.27275
"a,x4","10.4063,0.412545",aflow:4ccb36dec7b68f47,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Mo2O7Tb2_ICSD_159771,"4,14,4",Mo4O14Tb4,7.32916,-8.1605,-8.1605,22,0.363634
"a,x4","10.3437,0.822021",aflow:4c6953b4a0fa5011,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd2O7Os2_ICSD_155769,"4,14,4",Cd4O14Os4,8.60908,-5.83499,-5.83499,22,0.544935
"a,x4","10.249,0.830762",aflow:4dc4576f6ea86fac,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Tb2Ti2_ICSD_151747,"14,4,4",O14Tb4Ti4,6.48621,-8.27691,-8.27691,22,0
"a,x4","10.4743,0.824495",aflow:4ddd3fc4b2a6ef79,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Bi2O7Ti2_ICSD_161100,"4,14,4",Bi4O14Ti4,7.23387,-7.03908,-7.03908,22,0
"a,x3,x4","13.0169,0.276986,0.224936",aflow:4e06c5bc5f484ac8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C4Hg1K2N4_ICSD_62084,"8,2,4,8",C8Hg2K4N8,2.30595,-6.57611,-6.57611,22,0
"a,x4","10.7802,0.438202",aflow:4f689ce2ad31aa19,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Sn2Ta2_ICSD_163818,"14,4,4",O14Sn4Ta4,7.54211,-7.908,-7.908,22,0
"a,x4","10.3863,0.359865",aflow:5032318cfec8a5e0,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ca2O7Sb2_ICSD_24245,"4,14,4",Ca4O14Sb4,5.16532,-5.97806,-5.97806,22,0
"a,x4","10.3427,0.427982",aflow:50ddac208526fffa,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd2O7Os2_ICSD_155772,"4,14,4",Cd4O14Os4,8.61175,-5.83499,-5.83499,22,0.544937
