Egap,Egap_type,aflow_prototype_params_list_relax,aflow_prototype_params_values_relax,auid,aurl,compound,spinD,spin_atom,valence_cell_iupac
6,insulator-indirect,"a,x3,x4","13.0757,0.723342,0.775162",aflow:4397ed9a800a61af,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C4Cd1K2N4_ICSD_23994,C8Cd2K4N8,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,80
2.2472,insulator-direct,"a,x4","10.6063,0.408248",aflow:43a95bb7cd8a43ac,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Sn2Y2_ICSD_153817,O14Sn4Y4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
0,metal,"a,x4","10.4531,0.81726",aflow:455356e5dfe33177,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Hg2O7Os2_ICSD_159796,Hg4O14Os4,"0.046,0.048,0.051,0.048,0.178,0.161,0.183,0.183,0.163,0.147,0.183,0.183,0.161,0.178,0.163,0.147,0.165,0.165,2.219,2.194,2.167,2.195",0.530221,76
2.0818,insulator-indirect,"a,x4","10.508,0.817316",aflow:45da11711f06cd30,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd2Nb2O7_ICSD_27122,Cd4Nb4O14,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
2.9988,insulator-direct,"a,x4","10.8859,0.83311",aflow:46c19ace37abc759,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ce2O7Zr2_ICSD_168596,Ce4O14Zr4,"0.975,0.975,0.974,0.975,-0.017,-0.017,-0.002,-0.003,-0.003,-0.002,-0.003,-0.003,-0.002,-0.003,-0.003,-0.002,-0.003,-0.003,-0.001,-0.001,-0.001,-0.001",0.18181,60
2.1169,insulator-indirect,"a,x4","10.535,0.817494",aflow:465fb4e9bb6a474e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd2O7Ta2_ICSD_9715,Cd4O14Ta4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
0,metal,"a,x4","10.8264,0.363044",aflow:463c5b0d17fa2d9a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/La2O7Zr2_ICSD_184098,La4O14Zr4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
3.2884,insulator-indirect,"a,x4","10.2396,0.830958",aflow:474cec417886a308,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Ti2Y2_ICSD_167563,O14Ti4Y4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
0,metal,"a,x4","10.3438,0.822011",aflow:47d700b6c56b509e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd2O7Os2_ICSD_155766,Cd4O14Os4,"0.032,0.033,0.032,0.032,0.167,0.148,0.189,0.189,0.165,0.184,0.189,0.189,0.148,0.167,0.165,0.184,0.121,0.121,2.289,2.273,2.289,2.304",0.54494,68
2.0853,insulator-direct,"a,x4","10.9722,0.833292",aflow:47f7fd7233cdb705,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/La2O7Sn2_ICSD_24195,La4O14Sn4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
0.138,insulator-direct,"a,x4","10.6799,0.83227",aflow:491d48d0074836ad,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Eu2Hf2O7_ICSD_236212,Eu4Hf4O14,"6.282,6.262,6.282,6.301,-0.002,-0.005,-0.002,0,-0.077,-0.078,-0.071,-0.071,-0.075,-0.073,-0.071,-0.071,-0.078,-0.077,-0.075,-0.073,-0.17,-0.17",1.09103,56
1.7677,insulator-direct,"a,x4","10.5375,0.817079",aflow:4aaabc9e717d320e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ca2Nb2O7_ICSD_22411,Ca4Nb4O14,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
0,half-metal,"a,x4","10.5217,0.843614",aflow:4b573afa6b1e0d55,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Sn2Yb2_ICSD_82964,O14Sn4Yb4,"0.053,0.053,0.054,0.052,0.055,0.053,0.052,0.054,0.053,0.053,0.055,0.053,0.138,0.138,0.001,0,0,-0.001,0.708,0.734,0.734,0.76",0.181824,56
3.2737,insulator-indirect_spin-polarized,"a,x4","10.3153,0.829202",aflow:4ce95fbe3fce93b1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Gd2O7Ti2_ICSD_24207,Gd4O14Ti4,"7.01,7.009,7.011,7.01,-0.041,-0.041,-0.014,-0.014,-0.013,-0.014,-0.014,-0.014,-0.014,-0.013,-0.014,-0.014,-0.014,-0.014,-0.005,-0.005,-0.005,-0.005",1.27275,56
0,half-metal,"a,x4","10.4063,0.412545",aflow:4ccb36dec7b68f47,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Mo2O7Tb2_ICSD_159771,Mo4O14Tb4,"1.888,1.887,1.891,1.886,-0.031,-0.019,-0.015,-0.003,0.009,0.009,-0.003,-0.015,-0.019,-0.031,0.009,0.009,-0.001,-0.001,0.021,0.023,0.022,0.022",0.363634,68
0,metal,"a,x4","10.3437,0.822021",aflow:4c6953b4a0fa5011,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd2O7Os2_ICSD_155769,Cd4O14Os4,"0.032,0.032,0.032,0.033,0.189,0.189,0.167,0.148,0.184,0.165,0.148,0.167,0.189,0.189,0.184,0.165,0.121,0.121,2.304,2.289,2.289,2.273",0.544935,68
3.3021,insulator-indirect,"a,x4","10.249,0.830762",aflow:4dc4576f6ea86fac,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Tb2Ti2_ICSD_151747,O14Tb4Ti4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,60
2.8929,insulator-indirect,"a,x4","10.4743,0.824495",aflow:4ddd3fc4b2a6ef79,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Bi2O7Ti2_ICSD_161100,Bi4O14Ti4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,64
5.8375,insulator-indirect,"a,x3,x4","13.0169,0.276986,0.224936",aflow:4e06c5bc5f484ac8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C4Hg1K2N4_ICSD_62084,C8Hg2K4N8,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,84
1.6174,insulator-indirect,"a,x4","10.7802,0.438202",aflow:4f689ce2ad31aa19,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Sn2Ta2_ICSD_163818,O14Sn4Ta4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,64
0.1901,insulator-direct,"a,x4","10.3863,0.359865",aflow:5032318cfec8a5e0,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ca2O7Sb2_ICSD_24245,Ca4O14Sb4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
0,metal,"a,x4","10.3427,0.427982",aflow:50ddac208526fffa,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd2O7Os2_ICSD_155772,Cd4O14Os4,"0.032,0.033,0.032,0.032,0.189,0.189,0.167,0.148,0.165,0.184,0.148,0.167,0.189,0.189,0.165,0.184,0.121,0.121,2.288,2.273,2.304,2.289",0.544937,68
1.7932,insulator-direct,"a,x4","10.879,0.818806",aflow:51714392649712d1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/F6Hg2Ni2S1_ICSD_4083,F12Hg4Ni4S2,"0.051,0.05,0.052,0.052,0.052,0.051,0.052,0.052,0.05,0.051,0.052,0.051,0,0,0,0,1.823,1.824,1.824,1.824,-0.001,-0.001",0.363684,56
0,half-metal,"a,x4","10.2594,0.413115",aflow:51ea47843e461e60,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ir2O7Y2_ICSD_187534,Ir4O14Y4,"0.704,0.708,0.707,0.702,0.102,0.096,0.068,0.068,0.084,0.089,0.068,0.068,0.096,0.102,0.084,0.089,0.003,0.003,0.023,0.02,0.023,0.026",0.181673,72
0,metal,"a,x4","10.8273,0.363008",aflow:518630d75dad5140,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/La2O7Zr2_ICSD_184096,La4O14Zr4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
2.9834,insulator-direct,"a,x4","10.8848,0.416792",aflow:52ca4f34ce90ae48,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ce2O7Zr2_ICSD_168595,Ce4O14Zr4,"0.975,0.975,0.974,0.975,-0.017,-0.017,-0.003,-0.003,-0.003,-0.002,-0.002,-0.003,-0.002,-0.003,-0.003,-0.003,-0.002,-0.003,-0.001,-0.001,-0.001,-0.001",0.18181,60
2.4623,insulator-direct,"a,x4","10.5611,0.817387",aflow:54ff4abcf9aa0a9e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ca2O7Ta2_ICSD_27121,Ca4O14Ta4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
3.2676,insulator-indirect,"a,x4","10.6069,0.822847",aflow:5419805aeec1a922,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/La2O7Ti2_ICSD_164027,La4O14Ti4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
2.2478,insulator-direct,"a,x4","10.6051,0.408212",aflow:542a24e530204c1a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Sn2Y2_ICSD_74706,O14Sn4Y4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
3.2411,insulator-indirect,"a,x4","10.2224,0.831543",aflow:55b9faf4733959de,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Dy2O7Ti2_ICSD_188553,Dy4O14Ti4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,60
0,metal,"a,x4","10.474,0.835734",aflow:56e85df50d5b92c2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Gd2Mo2O7_ICSD_159775,Gd4Mo4O14,"7,7.004,7,6.996,-1.106,-1.186,-1.105,-1.025,-0.008,0.011,-0.034,-0.034,-0.009,-0.029,-0.034,-0.034,0.011,-0.008,-0.009,-0.029,-0.04,-0.04",1.06452,64
0,metal,"a,x4","10.4531,0.817256",aflow:56b0c1126a7390fb,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Hg2O7Os2_ICSD_159794,Hg4O14Os4,"0.048,0.051,0.048,0.046,0.163,0.147,0.183,0.183,0.161,0.178,0.183,0.183,0.147,0.163,0.161,0.178,0.165,0.165,2.194,2.167,2.195,2.219",0.530219,76
1.0459,insulator-indirect,"a,x4","10.7485,0.437578",aflow:56428d5401825d75,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Nb2O7Sn2_ICSD_163817,Nb4O14Sn4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,64
2.7011,insulator-direct,"a,x4","10.605,0.840556",aflow:574859fb725b71ef,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Y2Zr2_ICSD_153818,O14Y4Zr4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
1.7934,insulator-direct,"a,x4","10.8791,0.431187",aflow:580527b50331e5ea,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/F6Hg2Ni2S1_ICSD_166545,F12Hg4Ni4S2,"0.051,0.052,0.052,0.052,0.05,0.051,0.052,0.052,0.052,0.051,0.05,0.051,0,0,0,0,1.823,1.824,1.824,1.824,-0.001,-0.001",0.363685,56
0,metal,"a,x4","10.3939,0.829863",aflow:5882443e36213ebb,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Bi2O7Ru2_ICSD_161102,Bi4O14Ru4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,80
0.1482,insulator-direct,"a,x4","10.5508,0.876173",aflow:5c939a2366507ada,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Gd2O7Zr2_ICSD_261758,Gd4O14Zr4,"7.021,7.019,7.023,7.021,-0.026,-0.026,-0.024,-0.026,-0.025,-0.024,-0.026,-0.024,-0.026,-0.026,-0.025,-0.024,-0.01,-0.01,-0.007,-0.007,-0.007,-0.007",1.27276,56
2.1953,insulator-direct,"a,x4","10.563,0.843012",aflow:5f7286e5bbc992cc,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ho2O7Sn2_ICSD_84748,Ho4O14Sn4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
3.4526,insulator-indirect,"a,x4","10.5943,0.835488",aflow:5f18888e5af5d54c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Gd2Hf2O7_ICSD_236213,Gd4Hf4O14,"7.008,7.009,7.008,7.008,-0.005,-0.005,-0.005,-0.005,-0.013,-0.014,-0.013,-0.013,-0.014,-0.013,-0.013,-0.013,-0.014,-0.013,-0.014,-0.013,-0.042,-0.042",1.27271,56
0,metal,"a,x4","10.4531,0.43274",aflow:5f84d645ff5d211c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Hg2O7Os2_ICSD_159795,Hg4O14Os4,"0.048,0.051,0.048,0.046,0.178,0.161,0.183,0.183,0.147,0.163,0.183,0.183,0.161,0.178,0.147,0.163,0.165,0.165,2.195,2.167,2.194,2.219",0.530221,76
0,metal,"a,x4","10.3439,0.822008",aflow:617c1650c2621b3d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd2O7Os2_ICSD_155764,Cd4O14Os4,"0.032,0.033,0.032,0.032,0.167,0.148,0.184,0.165,0.189,0.189,0.165,0.184,0.148,0.167,0.189,0.189,0.121,0.121,2.304,2.273,2.289,2.289",0.544941,68
1.0682,insulator-indirect,"a,x4","10.5298,0.832063",aflow:646ccd3a29e844e5,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Bi2O7Pt2_ICSD_161104,Bi4O14Pt4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,72
0,half-metal,"a,x4","10.4069,0.412518",aflow:647ebaa8849028fd,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Mo2O7Tb2_ICSD_159773,Mo4O14Tb4,"1.886,1.891,1.887,1.889,-0.031,-0.019,-0.003,-0.015,0.009,0.009,-0.015,-0.003,-0.019,-0.031,0.009,0.009,-0.001,-0.001,0.022,0.022,0.023,0.021",0.363634,68
0.1453,insulator-direct,"a,x4","10.5504,0.876215",aflow:6643c2cb85a58314,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Gd2O7Zr2_ICSD_185396,Gd4O14Zr4,"7.021,7.021,7.023,7.019,-0.026,-0.024,-0.024,-0.025,-0.026,-0.027,-0.025,-0.024,-0.024,-0.026,-0.026,-0.027,-0.01,-0.01,-0.007,-0.007,-0.007,-0.007",1.27276,56
0,metal,"a,x4","10.3426,0.42798",aflow:66faa8b1cbf42cfd,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd2O7Os2_ICSD_155773,Cd4O14Os4,"0.032,0.032,0.033,0.032,0.189,0.189,0.165,0.184,0.167,0.148,0.184,0.165,0.189,0.189,0.167,0.148,0.121,0.121,2.288,2.304,2.273,2.289",0.544936,68
0.1195,insulator-direct,"a,x4","10.7535,0.412336",aflow:67ce809ba898eca9,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Eu2O7Sn2_ICSD_173949,Eu4O14Sn4,"6.255,6.277,6.232,6.255,-0.181,-0.181,-0.063,-0.063,-0.064,-0.064,-0.067,-0.066,-0.064,-0.064,-0.063,-0.063,-0.067,-0.066,0,0,0.001,0",1.0909,56
0.5603,insulator-indirect,"a,x4","10.2786,0.837499",aflow:67f0a9c54eedcaa2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Ru2Y2_ICSD_79733,O14Ru4Y4,"0.072,0.059,0.069,0.07,0.066,0.054,0.07,0.069,0.059,0.072,0.066,0.054,-0.001,-0.001,1.7,1.709,1.719,1.709,0.029,0.03,0.03,0.029",0.363639,72
0,half-metal,"a,x4","10.8953,0.817561",aflow:678fbb0abfa6e0dd,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cu2F6Hg2S1_ICSD_156368,Cu4F12Hg4S2,"0.714,0.728,0.745,0.771,0.088,0.089,0.086,0.084,0.091,0.087,0.084,0.086,0.089,0.088,0.091,0.087,-0.001,-0.001,-0.001,-0.001,-0.002,-0.002",0.182045,56
3.2614,insulator-indirect,"a,x4","10.6086,0.822831",aflow:683c0548427d5312,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/La2O7Ti2_ICSD_153816,La4O14Ti4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
2.2304,insulator-direct,"a,x4","10.6145,0.408495",aflow:6abe626ad755b27a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Sn2Tb2_ICSD_159786,O14Sn4Tb4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,60
0,metal,"a,x4","10.4525,0.817263",aflow:6c673b94bca8e244,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Hg2O7Os2_ICSD_159806,Hg4O14Os4,"0.051,0.048,0.048,0.046,0.183,0.183,0.161,0.178,0.147,0.163,0.178,0.161,0.183,0.183,0.147,0.163,0.165,0.165,2.167,2.195,2.194,2.219",0.530203,76
3.317,insulator-indirect,"a,x4","10.821,0.834666",aflow:6dcdfe64773582b3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Nd2O7Zr2_ICSD_154754,Nd4O14Zr4,"2.968,2.969,2.968,2.968,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.039,-0.039,-0.003,-0.003,-0.003,-0.002",0.545465,60
2.173,insulator-direct,"a,x4","10.5375,0.843816",aflow:6e0cff70171929f0,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Er2O7Sn2_ICSD_82962,Er4O14Sn4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
0,metal,"a,x4","10.8537,0.433001",aflow:6f7b1c9a0527f360,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Pb2Sb2_ICSD_27120,O14Pb4Sb4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,64
0.1376,insulator-direct,"a,x4","10.6793,0.417704",aflow:70aae2c237d0db8b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Eu2Hf2O7_ICSD_173953,Eu4Hf4O14,"6.282,6.262,6.301,6.282,-0.002,-0.005,0,-0.002,-0.17,-0.17,-0.071,-0.071,-0.077,-0.078,-0.075,-0.074,-0.078,-0.077,-0.071,-0.071,-0.075,-0.074",1.09091,56
0.1484,insulator-direct,"a,x4","10.5508,0.876169",aflow:71652fe0e83ff5b4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Gd2O7Zr2_ICSD_185395,Gd4O14Zr4,"7.021,7.021,7.023,7.019,-0.026,-0.024,-0.024,-0.025,-0.026,-0.026,-0.025,-0.024,-0.024,-0.026,-0.026,-0.026,-0.01,-0.01,-0.007,-0.007,-0.007,-0.007",1.27276,56
0,metal,"a,x4","10.7363,0.359678",aflow:7198b9a48a58092a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Hf2La2O7_ICSD_173790,Hf4La4O14,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
2.173,insulator-direct,"a,x4","10.5375,0.843816",aflow:7146000986be1a20,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Er2O7Sn2_ICSD_84749,Er4O14Sn4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
0.8575,insulator-indirect,"a,x4","10.0527,0.830118",aflow:72ded1ad94619a81,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Mn2O7Y2_ICSD_56516,Mn4O14Y4,"3.257,3.259,3.259,3.26,-0.097,-0.097,-0.105,-0.109,-0.1,-0.104,-0.109,-0.105,-0.097,-0.097,-0.1,-0.104,-0.008,-0.008,0.023,0.022,0.022,0.022",0.545396,68
0,half-metal,"a,x4","10.3775,0.426074",aflow:73c456125e116be3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Ru2Tl2_ICSD_172017,O14Ru4Tl4,"0.093,0.104,0.101,0.102,0.085,0.098,0.102,0.101,0.104,0.093,0.085,0.098,0.054,0.054,1.63,1.643,1.656,1.642,-0.042,-0.033,-0.022,-0.031",0.363629,72
0,metal,"a,x4","9.9454,0.876756",aflow:735307e87292ac4c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Lu2O7V2_ICSD_160599,Lu4O14V4,"0.014,0.013,0.012,0.014,0.003,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.003,0.003,0.003,-0.002,-0.002,-0.032,-0.017,-0.004,-0.027",0.00973304,60
3.1172,insulator-indirect,"a,x4","10.1711,0.83274",aflow:741f2418db817598,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Er2O7Ti2_ICSD_150211,Er4O14Ti4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
4.171,insulator-indirect,"a,x4","9.4269,0.823637",aflow:7422ec9f7b12ff6b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Sc2Si2_ICSD_1457,O14Sc4Si4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
0.4798,insulator-indirect,"a,x4","10.4322,0.823978",aflow:756096e33f80cb70,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd2O7Sb2_ICSD_165168,Cd4O14Sb4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
4.4648,insulator-direct,"a,x4","10.8645,0.828475",aflow:76fb1c0b95c6b115,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Hf2La2O7_ICSD_153815,Hf4La4O14,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
0,metal,"a,x4","10.8301,0.363092",aflow:770a957dc132d359,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/La2O7Zr2_ICSD_184100,La4O14Zr4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
3.1084,insulator-indirect,"a,x4","10.1743,0.417185",aflow:77968dc97cd307c2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Er2O7Ti2_ICSD_24209,Er4O14Ti4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
0,metal,"a,x4","10.4849,0.824927",aflow:78362da03fd4c22e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Eu2O7Ru2_ICSD_173947,Eu4O14Ru4,"6.465,6.548,6.549,6.635,-0.172,-0.172,0.143,0.143,0.131,0.116,0.144,0.128,0.116,0.131,0.143,0.143,0.144,0.128,1.855,1.891,1.899,1.936",1.62838,72
0,metal,"a,x4","10.4848,0.825352",aflow:7a20759f81b8af5a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Eu2O7Ru2_ICSD_109306,Eu4O14Ru4,"6.571,6.485,6.658,6.571,0.152,0.153,0.154,0.134,0.12,0.139,0.134,0.154,0.153,0.152,0.12,0.139,-0.168,-0.168,1.906,1.865,1.95,1.903",1.63326,72
3.0187,insulator-direct,"a,x4","10.8833,0.417031",aflow:7a5e154a75bf761b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ce2O7Zr2_ICSD_168598,Ce4O14Zr4,"0.975,0.975,0.974,0.975,-0.017,-0.017,-0.003,-0.003,-0.003,-0.002,-0.002,-0.003,-0.002,-0.003,-0.003,-0.003,-0.002,-0.003,-0.001,-0.001,-0.001,-0.001",0.18181,60
3.2859,insulator-indirect,"a,x4","10.2415,0.830978",aflow:7b8fca634f8b5c68,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Ti2Y2_ICSD_66874,O14Ti4Y4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
0,metal,"a,x4","10.4517,0.432698",aflow:7ca837aeeae53594,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Hg2O7Os2_ICSD_159808,Hg4O14Os4,"0.048,0.048,0.046,0.051,0.161,0.178,0.163,0.147,0.183,0.183,0.147,0.163,0.178,0.161,0.183,0.183,0.165,0.165,2.194,2.195,2.219,2.167",0.530209,76
0.258,insulator-direct,"a,x4","10.3788,0.423303",aflow:7ce0930de22d4e27,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Eu2O7Ti2_ICSD_173945,Eu4O14Ti4,"6.244,6.262,6.226,6.244,-0.145,-0.145,-0.066,-0.066,-0.069,-0.068,-0.071,-0.072,-0.068,-0.069,-0.066,-0.066,-0.071,-0.072,0.003,0.004,0.003,0.003",1.09169,56
