Egap,Egap_type,aflow_prototype_params_list_relax,aflow_prototype_params_values_relax,auid,aurl,compound,spinD,spin_atom,valence_cell_iupac
0,metal,"a,x4","10.8265,0.363046",aflow:7e93fe7271cbaea2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/La2O7Zr2_ICSD_184099,La4O14Zr4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
2.1716,insulator-direct,"a,x4","10.855,0.414142",aflow:7f75c02e8947ca2d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Pr2Sn2_ICSD_82957,O14Pr4Sn4,"-0.008,-0.007,-0.007,-0.007,-0.008,-0.008,-0.007,-0.007,-0.007,-0.008,-0.008,-0.008,-0.031,-0.031,1.987,1.987,1.987,1.987,0.001,0.001,0.001,0.001",0.363631,60
2.2481,insulator-direct,"a,x4","10.6051,0.841786",aflow:81c58f5faba12e54,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Sn2Y2_ICSD_24193,O14Sn4Y4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
2.8939,insulator-indirect,"a,x4","10.4713,0.425493",aflow:81684c85140475d2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Bi2O7Ti2_ICSD_180394,Bi4O14Ti4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,64
2.1006,insulator-direct,"a,x4","10.9637,0.833381",aflow:81f6685e6d6272fa,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/La2O7Sn2_ICSD_153813,La4O14Sn4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
2.237,insulator-direct,"a,x4","10.6078,0.841931",aflow:8254e3e4dbfa3d3a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Sn2Y2_ICSD_160115,O14Sn4Y4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
1.0503,insulator-indirect,"a,x4","9.7751,0.414074",aflow:82f25b8da0ba88ae,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Mn2O7Sc2_ICSD_83277,Mn4O14Sc4,"3.21,3.211,3.21,3.21,-0.01,-0.01,-0.095,-0.092,-0.09,-0.09,-0.096,-0.099,-0.095,-0.092,-0.099,-0.096,-0.09,-0.09,0.033,0.034,0.031,0.033",0.545418,68
0,half-metal,"a,x4","10.4064,0.412527",aflow:84dc0cb5db934f78,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Mo2O7Tb2_ICSD_159772,Mo4O14Tb4,"1.891,1.887,1.886,1.889,-0.015,-0.003,0.009,0.009,-0.019,-0.031,0.009,0.009,-0.003,-0.015,-0.019,-0.031,-0.001,-0.001,0.022,0.023,0.022,0.021",0.363634,68
0,metal,"a,x4","10.4462,0.422514",aflow:84de0515704a30c3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Eu2Ir2O7_ICSD_156437,Eu4Ir4O14,"6.613,6.531,6.615,6.698,0.742,0.679,0.747,0.811,0.074,0.074,0.088,0.088,0.087,0.087,0.088,0.088,0.074,0.074,0.087,0.087,-0.258,-0.258",1.38184,72
3.2922,insulator-indirect,"a,x4","10.2535,0.419108",aflow:85eca6ecf13ac5bd,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Tb2Ti2_ICSD_159783,O14Tb4Ti4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,60
3.2858,insulator-indirect,"a,x4","10.2414,0.83098",aflow:8673f401144ed031,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Ti2Y2_ICSD_14242,O14Ti4Y4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
0,half-metal,"a,x4","10.5427,0.830546",aflow:862cf91b51080062,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Bi2O7Os2_ICSD_161105,Bi4O14Os4,"0.051,0.043,0.051,0.06,0.063,0.055,0.089,0.089,0.071,0.079,0.089,0.089,0.055,0.063,0.071,0.079,0.014,0.014,1.666,1.658,1.666,1.673",0.363217,80
3.3362,insulator-indirect,"a,x4","10.5256,0.412685",aflow:868f500a39cc59bb,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Hf2O7Y2_ICSD_153819,Hf4O14Y4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
0,metal,"a,x4","10.1113,0.887066",aflow:8914bb62219de8c7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7V2Y2_ICSD_160600,O14V4Y4,"-0.068,-0.068,-0.083,-0.083,-0.094,-0.095,-0.083,-0.083,-0.068,-0.068,-0.094,-0.095,-0.159,-0.159,1.215,1.206,1.209,1.207,0.004,0.004,0.005,0.005",0.168893,60
0.0867,insulator-direct,"a,x4","10.1366,0.416742",aflow:890ed27bdf516d24,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Ti2Yb2_ICSD_188872,O14Ti4Yb4,"-0.095,-0.095,-0.056,-0.056,-0.063,-0.063,-0.059,-0.059,-0.063,-0.063,-0.056,-0.056,-0.059,-0.059,0.009,0.01,0.009,0.009,-0.751,-0.73,-0.772,-0.751",-0.182517,56
2.6207,insulator-indirect,"a,x4","10.8432,0.835129",aflow:898a48d440cfd173,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Bi2O7Sn2_ICSD_84793,Bi4O14Sn4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,64
0,metal,"a,x4","10.4019,0.818005",aflow:8a26312f862c053c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Hg2O7Ru2_ICSD_420818,Hg4O14Ru4,"0.054,0.055,0.055,0.056,0.21,0.211,0.183,0.203,0.164,0.184,0.203,0.183,0.211,0.21,0.164,0.184,0.19,0.19,2.063,2.086,2.085,2.107",0.539595,76
2.2087,insulator-direct,"a,x4","10.5894,0.842355",aflow:8f55b8fd8c7100a5,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Dy2O7Sn2_ICSD_82960,Dy4O14Sn4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,60
3.2875,insulator-indirect,"a,x4","10.2392,0.830998",aflow:8fd5e0c67bc9a341,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Ti2Y2_ICSD_157666,O14Ti4Y4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
2.9925,insulator-direct,"a,x4","10.8856,0.416847",aflow:92d8cad426eb934c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ce2O7Zr2_ICSD_168599,Ce4O14Zr4,"0.975,0.974,0.975,0.975,-0.017,-0.017,-0.003,-0.003,-0.002,-0.003,-0.003,-0.002,-0.003,-0.002,-0.003,-0.003,-0.003,-0.002,-0.001,-0.001,-0.001,-0.001",0.18181,60
3.2969,insulator-indirect,"a,x4","10.2522,0.830801",aflow:92fdf2a76f818ea0,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Tb2Ti2_ICSD_159781,O14Tb4Ti4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,60
0,metal,"a,x4","10.238,0.879468",aflow:94728fb708ce29e7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Pt2Sb2_ICSD_108965,O14Pt4Sb4,"0.136,0.124,0.144,0.143,0.144,0.132,0.143,0.144,0.124,0.136,0.144,0.132,0.051,0.051,1.395,1.375,1.356,1.374,0.018,0.019,0.021,0.02",0.337129,72
2.1171,insulator-indirect,"a,x4","10.5348,0.817453",aflow:95df745382b87aa8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd2O7Ta2_ICSD_75605,Cd4O14Ta4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
3.4431,insulator-direct,"a,x4","10.8425,0.415872",aflow:9635731f54f1b55c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Pr2Zr2_ICSD_249972,O14Pr4Zr4,"-0.031,-0.031,-0.007,-0.007,-0.007,-0.007,-0.007,-0.007,-0.007,-0.007,-0.007,-0.007,-0.007,-0.007,1.987,1.987,1.987,1.987,-0.001,-0.001,0,-0.001",0.363675,60
0.8849,insulator-indirect,"a,x4","9.9716,0.834547",aflow:97ee8a2a54b05f15,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Lu2O7V2_ICSD_32688,Lu4O14V4,"0.006,0.006,0.005,0.006,-0.028,-0.027,-0.026,-0.025,-0.024,-0.024,-0.028,-0.027,-0.024,-0.024,-0.025,-0.026,0,0,1.027,1.033,1.038,1.033",0.181811,60
2.2117,insulator-direct,"a,x4","10.5876,0.407634",aflow:98284134b8c2cfdc,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Dy2O7Sn2_ICSD_162368,Dy4O14Sn4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,60
0,metal,"a,x4","10.4782,0.414666",aflow:9985133e032e8bb7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Gd2Mo2O7_ICSD_159776,Gd4Mo4O14,"7,6.996,7,7.004,-1.102,-1.021,-1.106,-1.187,0.01,-0.009,-0.035,-0.035,-0.031,-0.01,-0.035,-0.035,-0.009,0.01,-0.031,-0.01,-0.04,-0.04",1.06423,64
3.0183,insulator-direct,"a,x4","10.8842,0.417024",aflow:9989cc43749eca33,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ce2O7Zr2_ICSD_168597,Ce4O14Zr4,"0.974,0.975,0.975,0.975,-0.017,-0.017,-0.003,-0.002,-0.003,-0.002,-0.003,-0.003,-0.002,-0.003,-0.002,-0.003,-0.003,-0.003,-0.001,-0.001,-0.001,-0.001",0.18181,60
0,metal,"a,x4","10.4773,0.835642",aflow:99c264e2a06a03e4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Gd2Mo2O7_ICSD_159777,Gd4Mo4O14,"7.001,7.003,7.005,7.003,-0.347,-0.321,-0.295,-0.321,0.005,0.005,-0.002,-0.002,0.007,0.006,-0.002,-0.002,0.005,0.005,0.007,0.006,-0.028,-0.028",1.22886,64
0.8455,insulator-direct_spin-polarized,"a,x4","10.5171,0.823293",aflow:9aafb282b4f515eb,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/F6Hg2Ni2O1_ICSD_27329,F12Hg4Ni4O2,"0.057,0.057,0.056,0.056,0.056,0.055,0.056,0.056,0.057,0.057,0.056,0.055,-0.001,-0.001,-0.001,-0.001,1.816,1.816,1.816,1.816,-0.002,-0.002",0.363725,48
0,half-metal,"a,x4","10.0903,0.423592",aflow:9aa441c460318dd7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Mn2O7Tl2_ICSD_56515,Mn4O14Tl4,"3.279,3.268,3.289,3.279,-0.141,-0.141,-0.135,-0.135,-0.139,-0.139,-0.135,-0.135,-0.141,-0.141,-0.139,-0.139,0.089,0.089,0.045,0.045,0.045,0.045",0.545616,68
3.2703,insulator-indirect_spin-polarized,"a,x4","10.312,0.829393",aflow:9c9e0ffac33bc002,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Gd2O7Ti2_ICSD_164024,Gd4O14Ti4,"7.009,7.01,7.011,7.01,-0.013,-0.014,-0.014,-0.014,-0.014,-0.014,-0.014,-0.014,-0.014,-0.013,-0.014,-0.014,-0.041,-0.041,-0.005,-0.005,-0.005,-0.005",1.27276,56
0,half-metal,"a,x4","10.4053,0.837561",aflow:9c6ccde385a7b917,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Mo2O7Tb2_ICSD_159770,Mo4O14Tb4,"1.887,1.889,1.886,1.891,-0.019,-0.031,-0.003,-0.015,0.009,0.009,-0.015,-0.003,-0.031,-0.019,0.009,0.009,-0.001,-0.001,0.023,0.021,0.022,0.022",0.363634,68
3.3198,insulator-indirect,"a,x4","10.8212,0.834634",aflow:9da40989a3a17b79,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Nd2O7Zr2_ICSD_62794,Nd4O14Zr4,"2.968,2.968,2.968,2.968,-0.039,-0.039,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.003,-0.003,-0.002,-0.003",0.545454,60
3.1078,insulator-indirect,"a,x4","10.1684,0.417113",aflow:9ecd1f8a22e8be6f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Er2O7Ti2_ICSD_24152,Er4O14Ti4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
0.8105,insulator-indirect,"a,x4","10.1113,0.83119",aflow:9eca8167a44d332a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Dy2O7V2_ICSD_160864,Dy4O14V4,"0.006,0.005,0.006,0.006,-0.027,-0.027,-0.029,-0.028,-0.025,-0.025,-0.028,-0.029,-0.027,-0.027,-0.025,-0.025,0,0,1.034,1.045,1.04,1.04",0.18181,64
3.2885,insulator-indirect,"a,x4","10.2395,0.830967",aflow:9fdfbb4bc6e77c79,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Ti2Y2_ICSD_157667,O14Ti4Y4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
1.2881,insulator-indirect_spin-polarized,"a,x4","9.8712,0.417115",aflow:9f31bed129498812,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/In2Mn2O7_ICSD_56517,In4Mn4O14,"0.043,0.043,0.043,0.042,3.244,3.25,3.244,3.237,-0.117,-0.116,-0.117,-0.117,-0.117,-0.118,-0.117,-0.117,-0.116,-0.117,-0.117,-0.118,0.036,0.036",0.545243,68
0,metal,"a,x4","10.4522,0.422804",aflow:a017fe3de251aa22,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Eu2Ir2O7_ICSD_173948,Eu4Ir4O14,"6.603,6.676,6.54,6.606,0.36,0.405,0.31,0.358,-0.268,-0.268,0.033,0.033,0.027,0.013,0.025,0.039,0.013,0.027,0.033,0.033,0.025,0.039",1.27777,72
3.292,insulator-indirect,"a,x4","10.2399,0.41914",aflow:a1126e8383f6aa72,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Ti2Y2_ICSD_83593,O14Ti4Y4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
3.2886,insulator-indirect,"a,x4","10.2397,0.419043",aflow:a12e453fee27822e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Ti2Y2_ICSD_164023,O14Ti4Y4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
3.8107,insulator-direct,"a,x4","10.9563,0.418728",aflow:a28b0cbd44db0558,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/La2O7Zr2_ICSD_159321,La4O14Zr4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
3.2742,insulator-indirect_spin-polarized,"a,x4","10.3144,0.420781",aflow:a232fbc50917714c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Gd2O7Ti2_ICSD_188552,Gd4O14Ti4,"7.009,7.01,7.01,7.011,-0.041,-0.041,-0.014,-0.014,-0.014,-0.014,-0.014,-0.013,-0.014,-0.014,-0.014,-0.014,-0.014,-0.013,-0.005,-0.005,-0.005,-0.005",1.27275,56
2.2513,insulator-direct,"a,x4","10.6036,0.408219",aflow:a32fb6036a82925f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Sn2Y2_ICSD_157673,O14Sn4Y4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
0,metal,"a,x4","10.3429,0.822003",aflow:a6fc371b690c26a0,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd2O7Os2_ICSD_155762,Cd4O14Os4,"0.032,0.033,0.032,0.032,0.167,0.148,0.189,0.189,0.165,0.184,0.189,0.189,0.148,0.167,0.165,0.184,0.121,0.121,2.288,2.273,2.289,2.304",0.544944,68
0,half-metal,"a,x4","10.0876,0.423553",aflow:a619d734be29cc82,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Mn2O7Tl2_ICSD_83268,Mn4O14Tl4,"3.277,3.266,3.288,3.278,0.089,0.089,-0.14,-0.14,-0.135,-0.134,-0.138,-0.138,-0.134,-0.135,-0.14,-0.14,-0.138,-0.138,0.045,0.045,0.045,0.045",0.545629,68
5.9833,insulator-indirect,"a,x3,x4","13.0352,0.223713,0.27574",aflow:a70e48dd771ddfc6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C4Cd1K2N4_ICSD_168524,C8Cd2K4N8,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,80
2.0808,insulator-indirect,"a,x4","10.51,0.432871",aflow:a7ca7d7c91ec602a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd2Nb2O7_ICSD_75601,Cd4Nb4O14,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
2.6206,insulator-indirect,"a,x4","10.8478,0.835032",aflow:a82396df41d10e1c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Bi2O7Sn2_ICSD_86845,Bi4O14Sn4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,64
0.0813,insulator-direct,"a,x4","10.1421,0.832675",aflow:a9ea942dfec81704,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Ti2Yb2_ICSD_173750,O14Ti4Yb4,"-0.095,-0.095,-0.057,-0.057,-0.059,-0.059,-0.064,-0.064,-0.059,-0.059,-0.057,-0.057,-0.064,-0.064,0.009,0.009,0.008,0.009,-0.748,-0.727,-0.77,-0.748",-0.181417,56
0.261,insulator-direct,"a,x4","10.3799,0.82646",aflow:a9b34bbe452e7e80,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Eu2O7Ti2_ICSD_83596,Eu4O14Ti4,"6.259,6.242,6.242,6.224,-0.065,-0.065,-0.07,-0.071,-0.067,-0.068,-0.071,-0.07,-0.065,-0.065,-0.067,-0.068,-0.144,-0.144,0.004,0.003,0.003,0.003",1.09306,56
0.1497,insulator-direct,"a,x4","10.5509,0.876155",aflow:ac5bd576aa2aa9bd,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Gd2O7Zr2_ICSD_261759,Gd4O14Zr4,"7.021,7.019,7.023,7.021,-0.026,-0.026,-0.024,-0.026,-0.025,-0.024,-0.026,-0.024,-0.026,-0.026,-0.025,-0.024,-0.01,-0.01,-0.007,-0.007,-0.007,-0.007",1.27276,56
0,metal,"a,x4","10.8219,0.887053",aflow:ad8f0e3fb8b241c7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/La2O7Zr2_ICSD_184092,La4O14Zr4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
0,metal,"a,x4","10.4531,0.817257",aflow:ad6ab41204319f2d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Hg2O7Os2_ICSD_159801,Hg4O14Os4,"0.048,0.051,0.048,0.046,0.163,0.147,0.183,0.183,0.161,0.178,0.183,0.183,0.147,0.163,0.161,0.178,0.165,0.165,2.194,2.167,2.195,2.219",0.53022,76
0,metal,"a,x4","10.2866,0.421982",aflow:b1f0715636739c9c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Mn2O7Sb2_ICSD_247301,Mn4O14Sb4,"4.683,4.681,4.685,4.683,0.022,0.022,0.023,0.022,0.021,0.022,0.022,0.023,0.022,0.022,0.021,0.022,0.03,0.03,0.007,0.006,0.007,0.007",0.909033,76
3.276,insulator-indirect_spin-polarized,"a,x4","10.313,0.829214",aflow:b134f5dd37dc7fb8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Gd2O7Ti2_ICSD_188036,Gd4O14Ti4,"7.009,7.01,7.01,7.011,-0.014,-0.014,-0.014,-0.014,-0.013,-0.014,-0.014,-0.014,-0.014,-0.014,-0.013,-0.014,-0.041,-0.041,-0.005,-0.005,-0.005,-0.005",1.27275,56
3.218,insulator-indirect_spin-polarized,"a,x4","10.4693,0.424404",aflow:b2ea219cd372311d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Nd2O7Ti2_ICSD_164026,Nd4O14Ti4,"2.968,2.968,2.968,2.968,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.042,-0.042,-0.002,-0.002,-0.002,-0.002",0.545455,60
0,metal,"a,x4","10.8219,0.363085",aflow:b25cdb4458bd8b83,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/La2O7Zr2_ICSD_184094,La4O14Zr4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
2.081,insulator-indirect,"a,x4","10.5098,0.817145",aflow:b5e30de2be249c35,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd2Nb2O7_ICSD_161921,Cd4Nb4O14,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
0.5177,insulator-indirect,"a,x4","10.5122,0.41816",aflow:b664db6403115173,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Nd2O7Ru2_ICSD_161572,Nd4O14Ru4,"2.987,2.985,2.988,2.987,-0.04,-0.04,0.067,0.067,0.056,0.069,0.064,0.051,0.069,0.056,0.067,0.067,0.064,0.051,1.69,1.678,1.702,1.69",0.909098,76
0,metal,"a,x4","10.3417,0.428128",aflow:b764c9e375e3c3a3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd2O7Os2_ICSD_155761,Cd4O14Os4,"0.032,0.032,0.033,0.032,0.19,0.189,0.165,0.184,0.167,0.148,0.184,0.165,0.189,0.19,0.167,0.148,0.12,0.12,2.288,2.303,2.272,2.288",0.545006,68
1.3957,insulator-indirect_spin-polarized,"a,x4","10.3373,0.411486",aflow:b857eda6f6bae17d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Dy2O7Tc2_ICSD_109080,Dy4O14Tc4,"0.063,0.062,0.062,0.061,0.071,0.071,0.071,0.058,0.063,0.051,0.058,0.071,0.071,0.071,0.063,0.051,0.001,0.001,2.592,2.591,2.591,2.59",0.545465,72
2.1098,insulator-direct,"a,x4","10.4665,0.404118",aflow:b88bf7849f6b2379,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Lu2O7Sn2_ICSD_82965,Lu4O14Sn4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
0,metal,"a,x4","10.2978,0.821707",aflow:b9183dd0b14fd78b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd2O7Ru2_ICSD_86773,Cd4O14Ru4,"0.03,0.029,0.03,0.03,0.206,0.182,0.184,0.161,0.214,0.214,0.161,0.184,0.182,0.206,0.214,0.214,0.148,0.148,2.165,2.137,2.151,2.152",0.54467,68
0,metal,"a,x4","10.5494,0.82072",aflow:bc370dbba9251e37,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Hg2O7Sb2_ICSD_160088,Hg4O14Sb4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,64
0,half-metal,"a,x4","10.5117,0.83079",aflow:bcf8fbb0ec2aca65,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ir2O7Pr2_ICSD_156436,Ir4O14Pr4,"0.691,0.679,0.686,0.689,0.097,0.102,0.084,0.089,0.067,0.067,0.089,0.084,0.102,0.097,0.067,0.067,-0.031,-0.031,2,2.005,2.002,2.002",0.545454,76
3.0089,insulator-indirect,"a,x4","10.4568,0.839468",aflow:bc78f78037a30785,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Er2Hf2O7_ICSD_162006,Er4Hf4O14,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
0,metal,"a,x4","10.4694,0.417551",aflow:bc84d971fcaf7f78,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Eu2O7Pt2_ICSD_173952,Eu4O14Pt4,"6.292,6.3,6.283,6.29,-0.149,-0.149,-0.028,-0.028,0.026,0.016,-0.02,-0.015,0.016,0.026,-0.028,-0.028,-0.02,-0.015,0.06,0.076,0.049,0.065",1.15919,64
2.0812,insulator-indirect,"a,x4","10.5089,0.432746",aflow:bd047ab93ea857d5,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd2Nb2O7_ICSD_75604,Cd4Nb4O14,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
3.2251,insulator-indirect,"a,x4","10.5046,0.838023",aflow:bdc7c8a963dd344a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Dy2Hf2O7_ICSD_245138,Dy4Hf4O14,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,60
2.2253,insulator-direct,"a,x4","10.6154,0.408408",aflow:bd190d01142f162c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Sn2Tb2_ICSD_159787,O14Sn4Tb4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,60
